Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201800003036,2.0,7,0,0.0,2.0,1.0,2.0,A01
201800055377,2.0,7,0,0.0,2.0,7.0,1.0,A01
201800025930,1.0,7,0,0.0,2.0,4.0,1.0,B01
201800000169,2.0,15,0,0.0,2.0,1.0,2.0,B01
201800000353,2.0,7,0,7.0,0.0,0.0,0.0,A01
201800010577,1.0,7,0,0.0,2.0,2.0,9.0,A01
201800021238,2.0,7,0,6.0,0.0,1.0,1.0,A01
201800023772,0.0,31,0,7.0,2.0,1.0,6.0,B01
201800021627,2.0,17,0,0.0,0.0,6.0,2.0,B01
201800012668,2.0,7,0,6.0,0.0,1.0,17.0,A01
201800042649,1.0,7,0,0.0,2.0,1.0,2.0,A01
201800013823,2.0,7,0,0.0,2.0,2.0,5.0,A01
201800034314,2.0,7,0,0.0,2.0,6.0,1.0,B01
201800000647,1.0,10,0,2.0,0.0,3.0,1.0,A01
201800011516,0.0,31,0,0.0,2.0,1.0,1.0,B01
201800034452,1.0,7,0,0.0,2.0,3.0,13.0,A01
201800011469,1.0,7,0,0.0,1.0,2.0,1.0,A01
201800018058,2.0,7,0,1.0,0.0,2.0,14.0,A01
201800030602,1.0,33,0,0.0,2.0,1.0,1.0,B01
201800009126,0.0,7,0,0.0,2.0,1.0,2.0,B01
201800023480,1.0,33,0,0.0,0.0,1.0,1.0,A01
201800016992,1.0,7,0,0.0,2.0,1.0,1.0,B01
201800033000,2.0,7,0,15.0,0.0,1.0,0.0,A01
201800047788,0.0,7,0,0.0,2.0,3.0,21.0,B01
201800001503,0.0,33,0,0.0,2.0,1.0,21.0,B01
201800023975,2.0,7,0,0.0,0.0,8.0,9.0,A01
201800053367,2.0,7,0,0.0,2.0,8.0,15.0,B01
201800005787,1.0,7,0,0.0,2.0,4.0,2.0,B01
201800046427,1.0,7,0,0.0,2.0,4.0,2.0,B01
201800048874,2.0,7,0,0.0,2.0,4.0,2.0,B01
201800001236,0.0,33,0,0.0,0.0,1.0,1.0,A01
201800004267,1.0,7,0,0.0,0.0,1.0,13.0,A01
201800024967,0.0,33,0,0.0,2.0,1.0,17.0,A01
201800047838,2.0,7,0,0.0,0.0,1.0,1.0,A01
201800033020,1.0,7,0,0.0,5.0,1.0,1.0,A01
201800002566,2.0,7,0,4.0,0.0,3.0,14.0,A01
201800006541,1.0,7,0,0.0,2.0,6.0,1.0,D01
201800010845,1.0,1,0,0.0,2.0,1.0,18.0,B01
201800015139,0.0,2,0,0.0,2.0,1.0,1.0,B01
201800030797,0.0,7,0,0.0,2.0,3.0,15.0,B01
201800036665,2.0,7,0,0.0,2.0,3.0,15.0,A01
201800029806,0.0,7,0,0.0,1.0,1.0,15.0,A01
201800031860,1.0,7,0,0.0,2.0,4.0,1.0,B01
201800034459,0.0,7,0,0.0,2.0,7.0,1.0,B01
201800003157,2.0,7,0,0.0,2.0,8.0,1.0,B01
201800028298,1.0,7,0,0.0,2.0,4.0,0.0,C01
201800028508,1.0,7,0,0.0,1.0,1.0,1.0,A01
201800052191,1.0,7,0,0.0,2.0,8.0,10.0,A01
201800026391,1.0,7,0,0.0,2.0,4.0,0.0,B01
201800005839,2.0,7,0,0.0,2.0,2.0,1.0,A01
201800028069,0.0,7,0,0.0,2.0,1.0,23.0,B01
201800036357,0.0,31,0,0.0,2.0,1.0,2.0,A01
201800009803,1.0,33,0,0.0,2.0,1.0,1.0,A01
201800019271,1.0,7,0,0.0,0.0,0.0,0.0,A01
201800022402,1.0,7,0,13.0,0.0,1.0,14.0,A01
201800040732,0.0,32,0,0.0,2.0,9.0,23.0,B01
201800018523,2.0,33,0,0.0,2.0,1.0,17.0,A01
201800012019,2.0,2,0,0.0,2.0,9.0,1.0,B01
201800001320,2.0,2,0,0.0,2.0,1.0,1.0,B01
201800003971,0.0,7,0,0.0,2.0,1.0,1.0,A01
201800016281,0.0,7,0,0.0,2.0,1.0,1.0,A01
201800007671,2.0,31,0,3.0,0.0,9.0,13.0,A01
201800012655,2.0,10,0,3.0,2.0,7.0,1.0,A01
201800056967,1.0,2,0,0.0,2.0,1.0,1.0,B01
201800006805,2.0,7,0,0.0,1.0,2.0,1.0,A01
201800026273,0.0,7,0,6.0,2.0,7.0,1.0,A01
201800041300,0.0,7,0,0.0,2.0,6.0,12.0,B01
201800036678,1.0,1,0,0.0,2.0,5.0,16.0,B01
201800009822,2.0,32,0,0.0,2.0,0.0,2.0,A01
201800041817,0.0,33,0,0.0,0.0,7.0,0.0,A01
201800046131,2.0,31,0,0.0,2.0,3.0,21.0,A01
201800056449,0.0,32,0,0.0,2.0,1.0,13.0,A01
201800052976,1.0,10,0,0.0,2.0,3.0,15.0,A01
201800038722,2.0,31,0,0.0,2.0,1.0,11.0,A01
201800014082,2.0,7,0,2.0,0.0,2.0,0.0,A01
201800053203,1.0,10,0,1.0,0.0,7.0,14.0,A01
201800025743,2.0,7,0,0.0,1.0,0.0,0.0,A01
201800033392,1.0,7,0,0.0,1.0,1.0,1.0,A01
201800016360,0.0,31,0,6.0,0.0,7.0,15.0,A01
201800044093,1.0,33,0,0.0,0.0,0.0,1.0,A01
201800016979,1.0,33,0,0.0,2.0,2.0,1.0,B01
201800028961,1.0,7,0,13.0,0.0,2.0,2.0,A01
201800050615,2.0,1,0,0.0,1.0,8.0,1.0,Z01
201800006821,2.0,10,0,0.0,2.0,2.0,1.0,A01
201800041715,1.0,7,0,0.0,2.0,5.0,23.0,B01
201800046566,1.0,33,0,0.0,6.0,1.0,1.0,A01
201800055288,2.0,7,0,0.0,2.0,4.0,2.0,C01
201800026225,0.0,30,0,6.0,0.0,8.0,21.0,A01
201800056952,1.0,1,0,0.0,2.0,4.0,0.0,B01
201800035195,0.0,7,0,4.0,0.0,1.0,1.0,A01
201800000500,1.0,33,0,0.0,2.0,1.0,17.0,A01
201800005169,2.0,7,0,0.0,2.0,4.0,23.0,B01
201800046405,1.0,7,0,0.0,2.0,8.0,1.0,B01
201800028068,0.0,7,0,0.0,2.0,4.0,2.0,B01
201800052925,1.0,7,0,0.0,2.0,2.0,17.0,B01
201800035975,2.0,2,0,0.0,2.0,1.0,1.0,B01
201800030320,2.0,7,0,0.0,2.0,1.0,1.0,B01
201800046263,2.0,7,0,4.0,0.0,1.0,17.0,A01
201800045877,2.0,33,0,0.0,2.0,1.0,12.0,A01
201800015624,2.0,1,0,0.0,2.0,3.0,1.0,B01
201800026250,2.0,7,0,6.0,1.0,1.0,21.0,A01
201800032458,2.0,10,0,0.0,2.0,1.0,2.0,A01
201800041653,2.0,33,0,0.0,2.0,1.0,1.0,B01
201800013689,1.0,2,0,0.0,2.0,1.0,5.0,A01
201800032967,2.0,7,0,6.0,0.0,1.0,1.0,A01
201800018017,2.0,7,0,0.0,2.0,3.0,13.0,A01
201800048083,2.0,7,0,1.0,2.0,3.0,1.0,A01
201800019939,0.0,7,0,8.0,2.0,7.0,17.0,A01
201800040651,1.0,7,0,1.0,2.0,8.0,13.0,A01
201800009754,1.0,7,0,0.0,2.0,3.0,9.0,B01
201800025187,2.0,7,0,0.0,2.0,1.0,15.0,A01
201800008151,1.0,7,0,0.0,2.0,1.0,1.0,A01
201800049511,1.0,7,0,0.0,2.0,1.0,2.0,A01
201800044544,2.0,34,0,16.0,0.0,1.0,1.0,A01
201800029934,2.0,7,0,6.0,0.0,2.0,1.0,A01
201800045717,1.0,32,0,0.0,2.0,1.0,3.0,A01
201800049577,2.0,7,0,0.0,0.0,9.0,1.0,A01
201800041392,1.0,31,0,12.0,0.0,1.0,9.0,A01
201800012689,2.0,7,0,0.0,2.0,3.0,1.0,A01
201800037105,1.0,33,0,0.0,2.0,1.0,1.0,B01
201800055716,2.0,33,0,0.0,2.0,1.0,3.0,B01
201800043324,2.0,33,0,1.0,0.0,1.0,1.0,B01
201800038862,1.0,7,0,0.0,2.0,1.0,9.0,B01
201800012245,1.0,7,0,0.0,2.0,4.0,2.0,B01
201800016689,2.0,7,0,0.0,2.0,1.0,1.0,A01
201800035753,2.0,7,0,0.0,2.0,1.0,19.0,A01
