Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201300036719,13,1,18,2300,5,1,1,9.0,2,7,LEO   (RN1007),,,,840
201300022256,13,4,12,1200,1,1,2,1.0,3,28,NIMES (ROUTE DE),M,4415479.0,461263.0,300
201300020781,13,4,19,1840,1,2,1,8.0,6,56,"2, PICARDIE RUE DE",M,4722305.0,597457.0,250
201300017963,13,10,22,1515,1,1,1,1.0,6,27,,M,4816683.0,-386079.0,290
201300037015,13,9,10,1850,1,2,1,1.0,3,194,"147 bis, NOUAILLE (ROUTE",,,,860
201300026643,13,5,22,1530,1,2,9,1.0,3,170,"0, LES PLAINES (LIEU DIT",M,4603451.0,409849.0,420
201300032365,13,9,24,1002,1,2,6,1.0,3,445,COURS LEON BERARD/MONTAR,,,,640
201300026961,13,7,8,805,1,2,1,1.0,3,132,"139, BONNE SOURCE (AVENU",,,,440
201300023335,13,10,27,1615,1,2,1,1.0,7,254,rue des arts,M,4355290.0,150321.0,310
201300017296,13,11,5,830,1,2,1,2.0,2,109,01 rue des ecoles,M,4730608.0,252265.0,180
201300004940,13,5,24,1645,5,2,1,1.0,6,542,ROUTE DE MORAS,M,4568400.0,521800.0,380
201300026648,13,6,7,2035,1,2,1,1.0,6,187,"0, LYON (AVENUE DE)",M,4603944.0,407720.0,420
201300023630,13,4,5,1929,1,2,3,1.0,2,63,"91, CRS DE LA MARNE",,,,330
201300031714,13,7,16,1210,1,2,1,1.0,4,113,"1, FLAUBERT (BD GUSTAVE)",M,4577218.0,312146.0,630
201300052205,13,12,13,1110,1,2,2,1.0,6,110,"5, RUE BEAUREPAIRE",,,,750
201300040806,13,10,6,1410,1,2,2,1.0,3,1,ANDRE KARMAN (RUE)  => 1,,,,930
201300020328,13,1,4,1940,5,2,1,8.0,1,272,RD89,,,,190
201300033077,13,6,29,1555,1,2,1,1.0,5,482,RHIN (ROUTE DU),,,,670
201300052548,13,11,8,50,5,2,2,2.0,6,111,"20, BOULEVARD RICHARD LE",,,,750
201300052286,13,4,9,840,1,2,3,3.0,6,111,"1, RUE BOUVIER",,,,750
201300030765,13,8,1,2020,1,2,1,1.0,6,599,MADAGASCAR (RUE DE),,,,590
201300010928,13,4,21,1845,1,2,3,3.0,3,88,"0, CESSOLE (BD DE) (A PA",,,,60
201300030182,13,6,2,1745,1,2,2,1.0,1,350,JACQUET EUGENE RUE N?PAI,,,,590
201300005982,13,5,30,1615,1,2,1,1.0,2,29,54 rue lucien michel,M,4937494.0,590243.0,540
201300006708,13,10,22,1415,1,1,1,1.0,3,272,,M,4801916.0,478324.0,520
201300011166,13,8,8,1831,1,2,2,1.0,3,88,"0, MIOLLIS (R.)",,,,60
201300019342,13,2,12,1835,3,2,1,1.0,7,449,"174490043, SAINTONGE AVE",M,4595089.0,-89346.0,170
201300045836,13,2,2,1615,1,1,1,2.0,4,53,AUTOROUTE A86,M,4888930.0,247362.0,930
201300003223,13,8,28,800,3,1,1,1.0,6,385,,M,4594021.0,-128520.0,170
201300026955,13,4,24,1640,1,2,1,1.0,6,55,GAULLE ( AVENUE DU G?N?R,,,,440
201300006329,13,3,5,1430,1,2,1,1.0,6,544,AVENUE DE LA GARE,M,0.0,0.0,670
201300002759,13,6,11,2015,1,1,1,1.0,1,47,,M,4355390.0,-71790.0,400
201300047216,13,10,19,2342,3,1,1,1.0,5,238,A13,,,,780
201300038924,13,10,8,1130,1,2,6,1.0,3,19,ALLENDE SALVATOR (CARREF,,,,920
201300030468,13,2,12,1822,1,2,2,1.0,3,163,"21, HOLDEN CROTHERS(RUE)",,,,590
201300026816,13,6,10,1335,1,2,2,1.0,3,330,"ignor?, CYCLOTOURISTES (",M,4546259.0,435932.0,420
