Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
200900031574,9,9,28,1205,1,2,1,1.0,1,328,"SANS, D'ANJOU(RUE)",,,,490
200900063857,9,10,1,1825,1,1,6,1.0,7,753,"0, BLD JULES CESAR",,,,620
200900000128,9,1,27,2035,5,2,1,1.0,6,116,"41, RUE GROS",,,,750
200900065675,9,12,15,1423,1,1,4,1.0,2,482,"SPV,BRET. AUTOROUTE A350",M,0.0,0,670
200900034860,9,9,14,1600,1,2,1,1.0,6,218,"SPV,57 RTE DE STRASBOURG",M,0.0,0,670
200900040345,9,4,12,2150,5,2,1,1.0,3,514,GENERAL DE GAULLE (AV),,,,770
200900040931,9,12,9,1945,5,2,2,2.0,6,113,"23, BOULEVARD VINCENT AU",,,,750
200900052477,9,6,11,500,2,2,3,1.0,3,204,"197, LIBERATION (BOULEVA",,,,130
200900009591,9,3,29,600,3,1,1,1.0,2,469,,M,4.0,0,240
200900017932,9,2,10,1515,1,1,1,1.0,3,1,A51-SENS MARSEILLE VERS,M,4.0,0,130
200900049953,9,11,5,2130,5,1,1,1.0,7,555,VA007313 LE CHAPITRE A64,M,4.0,0,310
200900031217,9,5,10,1030,1,1,1,1.0,7,385,,,,,690
200900015398,9,2,7,1515,1,1,2,8.0,3,173,,M,0.0,0,350
200900069212,9,1,5,810,2,2,1,2.0,7,220,JULES-SAUCISSE (RUE),,,,140
200900004985,9,2,25,1630,1,1,3,1.0,1,146,rue des faugï¿½res,M,4.0,0,190
200900034191,9,3,9,1330,1,2,3,1.0,3,25,GABRIEL PERI (RUE),,,,920
200900009250,9,6,22,2045,1,2,1,1.0,6,120,RUE DE L ERMITAGE,,,,750
200900071476,9,11,14,1600,1,2,1,2.0,6,36,"22, LENINE (AVENUE)",,,,920
200900023674,9,8,23,1730,1,2,2,1.0,3,454,place de la REPUBLIQUE,,,,510
200900041570,9,4,9,45,5,2,1,1.0,6,215,SAINT ANTOINE (CHEMIN DE,,,,130
200900030036,9,10,8,1345,1,2,1,1.0,3,181,"37, LIBERATION (AV DE LA",,,,720
200900028273,9,6,20,400,3,1,1,1.0,1,339,,M,4.0,0,260
200900058200,9,11,23,1235,1,2,2,1.0,3,212,"36, GAILLARD (BOULEVARD)",,,,130
200900005605,9,5,14,1405,1,2,3,1.0,6,114,"129, AVENUE DU MAINE",,,,750
200900037251,9,10,23,2030,5,1,1,3.0,6,520,,M,0.0,0,880
200900062295,9,9,24,1720,1,1,3,1.0,3,650,MONT A LEUX (RUE DU),,,,590
200900037674,9,10,19,1210,1,2,3,1.0,6,18,CARRE (RUE MICHEL),M,4.0,0,950
200900024700,9,7,22,922,1,1,1,1.0,7,200,02 PK RN237 RE MOULIN JU,,,,170
200900039297,9,1,26,1230,1,1,1,1.0,6,12,,M,4.0,0,630
200900038038,9,6,27,2130,1,2,4,1.0,7,147,"48, AV. REPUBLIQUE/RUE D",M,4.0,-,500
200900019452,9,5,15,1535,1,2,3,1.0,3,582,"8, MAURICE BERTEAUX (BOU",M,4.0,0,950
200900049374,9,9,7,730,1,2,3,1.0,3,653,rue du general Koenig,M,5.0,0,590
200900027336,9,10,24,855,1,2,6,2.0,7,111,"14, PLACE DE LA BASTILLE",,,,750
200900018573,9,2,23,915,1,2,5,3.0,6,67,"., SACROT (R)",M,4.0,0,940
200900017522,9,6,22,1800,1,2,2,1.0,3,137,PONT DE SUVE (ROND POINT,,,,830
200900004585,9,1,23,1600,1,2,6,8.0,3,129,ARENES (ROND POINT DES),M,4.0,0,340
200900072839,9,1,17,205,5,1,1,1.0,7,13,ROUTE NATIONALE 5,,,,972
200900050313,9,4,7,1850,1,2,6,2.0,7,172,"0, SCHUMAN (PLACE ROBERT",M,4.0,0,340
200900023160,9,6,14,1610,1,2,1,1.0,2,260,RN 166 -SENS RENNES / VA,,,,560
200900046460,9,10,8,830,1,2,3,2.0,2,99,CARNOT (RUE),,,,900
200900069671,9,12,31,1410,1,2,1,1.0,6,1,138 AV DE LA REPUBLIQUE,M,4.0,0,930
200900020653,9,9,17,850,1,2,3,1.0,7,107,"129, RUE DE GRENELLE",,,,750
200900059174,9,11,11,1630,1,1,1,2.0,6,115,,M,0.0,0,400
200900013711,9,1,15,1840,5,1,1,1.0,2,423,RN12,M,4.0,0,780
200900058886,9,8,12,610,1,2,1,1.0,6,88,"0, ANGLAIS PLAGE(  PARTI",,,,60
200900023676,9,4,7,900,1,2,1,7.0,6,70,rue des ponts st michel,M,4.0,-,220
200900043890,9,6,26,1525,1,1,1,1.0,6,477,AUTOROUTE A126,,,,910
200900023964,9,7,20,745,1,2,7,1.0,6,209,Parking Inter Marche,M,0.0,0,470
200900050084,9,12,16,810,1,2,1,1.0,3,555,"999, AV FREDERIC ESTEBE",,,,310
200900029358,9,3,25,1530,1,1,1,1.0,3,297,A47   0.000  A 1.657,,,,690
200900072613,9,2,22,2230,5,1,1,2.0,7,51,,R,0.0,0,974
200900034650,9,9,2,2300,3,1,1,1.0,6,483,,M,0.0,0,330
200900042455,9,5,23,2335,5,2,1,1.0,2,17,SONIA DE LAUNAY (VOI),M,4.0,0,940
200900010046,9,5,9,1225,1,2,1,7.0,2,137,MARSEILLE (ROUTE DE),,,,830
200900024135,9,5,5,2020,1,2,9,1.0,3,300,SOLE   RUE DE LA,,,,170
200900037179,9,7,4,30,5,2,1,1.0,6,19,"50, CORNICHE (DE 4 A 10",,,,290
200900046672,9,11,22,1700,3,1,1,6.0,6,158,,M,0.0,0,100
200900030047,9,4,21,1620,1,2,2,1.0,6,63,RUE BERTRAND DE GOTH,,,,330
200900054090,9,11,5,2330,3,1,1,1.0,7,364,,M,4.0,-,500
200900055145,9,8,22,1720,1,2,1,1.0,7,56,"6b, ILE DE FRANCE AVENUE",,,,250
200900041957,9,7,27,1920,1,2,3,1.0,2,152,JULES GUESDE,,,,690
200900030077,9,4,6,705,5,2,6,1.0,3,318,AVE MAL DE LATTRE DE TAS,,,,330
200900067739,9,9,29,1955,2,2,1,1.0,1,88,"7, CESSOLE (BD DE) (JUSQ",,,,60
200900023154,9,6,30,1120,1,2,1,1.0,2,260,"11, BRIAND(RUE ARISTIDE)",M,4.0,-,560
200900062919,9,10,31,2240,5,1,1,5.0,3,646,RN12,,,,780
200900036568,9,7,8,1835,1,2,6,1.0,6,281,"00, DODIN (AVENUE ROGER)",,,,350
200900054149,9,12,8,1415,1,1,1,3.0,6,200,LA SENTE,M,4.0,-,500
200900039226,9,9,12,1745,1,1,1,1.0,3,88,,M,4.0,0,260
200900038906,9,9,22,2030,5,2,3,1.0,3,33,BEREGOVOY (AVENUE PIERRE,,,,180
200900013906,9,1,16,1220,1,2,1,1.0,4,181,BROSSOLETTE PIERRE (BD),,,,720
200900047061,9,10,24,1435,1,2,1,1.0,6,300,"124, SAUTEL  BOULEVARD A",,,,170
200900003395,9,2,1,700,2,2,1,1.0,6,3,CHEMIN DES AIRES,M,4.0,0,300
200900039415,9,9,23,900,1,1,1,1.0,1,28,,M,4.0,0,210
200900011895,9,1,19,855,1,1,1,2.0,3,192,ROCADE A 630,,,,330
200900040294,9,8,23,2300,3,1,1,1.0,7,363,,M,4.0,0,550
200900015744,9,3,24,2020,5,2,1,6.0,5,7,C.De GAULLE (Rocade),,,,840
200900015461,9,4,10,1645,1,2,1,1.0,6,185,"21, BOULEVARD MARï¿½CHAL J",,,,380
200900069322,9,9,11,1340,1,2,1,1.0,1,1,BD FELIX FAURE,M,4.0,0,930
200900065355,9,12,21,1230,1,2,1,2.0,3,137,BIR-HAKEIM (ROND POINT),,,,830
200900028762,9,7,20,1815,1,1,1,1.0,2,504,,M,4.0,0,950
200900054355,9,11,11,445,3,1,1,2.0,6,322,,M,0.0,0,330
200900056676,9,11,12,1125,1,2,1,1.0,6,55,"17, Pï¿½TRELS ( AVENUE DES",,,,440
200900068629,9,10,23,1615,1,2,3,1.0,3,74,BOUCHER / RN3,M,4.0,0,930
200900024264,9,6,25,715,1,2,2,1.0,3,21,"0, LEGRAND D' AUSSY (RUE",,,,800
200900069094,9,8,5,1830,1,2,1,1.0,4,1,95 AV JEAN JAURES,M,4.0,0,930
200900043231,9,7,16,745,1,2,2,1.0,3,17,STALINGRAD (BD DE),M,4.0,0,940
200900051248,9,4,6,900,1,2,1,1.0,3,29,69 R SADI CARNOT,M,4.0,0,930
200900023045,9,5,21,1815,1,2,3,1.0,3,260,"., MARNE(BLD DE LA) 41 A",M,4.0,-,560
200900008751,9,6,2,2320,5,2,5,1.0,6,114,"202, BOULEVARD RASPAIL",,,,750
200900049325,9,9,25,1619,1,2,3,1.0,3,365,"91, AVESNES (ROUTE D')",,,,590
200900067258,9,12,17,2025,5,2,2,1.0,1,88,"0, VISMARA (AV.)",,,,60
200900069859,9,12,31,1856,5,2,1,1.0,6,218,"1, ALLEMANE JEAN",M,4.0,0,420
200900056722,9,12,3,1820,4,2,3,1.0,3,109,"., RUE PROFESSEUR EUGENE",,,,440
200900017349,9,3,21,1215,1,2,1,1.0,3,21,"06, CARNOT (BOULEVARD)",,,,800
200900036586,9,8,5,1900,1,2,1,1.0,3,137,VICTOIRE DU 8 MAI 1945 (,,,,830
200900032316,9,11,17,2045,5,2,1,1.0,2,104,PONT AU CHANGE,,,,750
200900050196,9,12,9,1740,5,2,1,2.0,2,181,ESTIENNE D'ORVES (BD D'),,,,720
200900019779,9,5,24,600,1,1,9,1.0,7,131,SPV,M,4.0,0,670
200900069269,9,9,27,907,1,2,2,1.0,3,1,COCHENNEC / COLBERT,M,4.0,0,930
200900040324,9,10,27,930,1,2,2,7.0,3,197,Fontaine du Guï¿½ (rue),M,4.0,0,950
200900059715,9,9,21,900,1,1,1,1.0,3,249,RN104,,,,770
200900037402,9,8,28,1500,1,2,1,1.0,1,185,Rue de strasbourg,M,0.0,0,290
200900069810,9,12,2,700,2,2,5,1.0,3,187,"1, BURDEAU (RUE)",M,4.0,0,420
200900053149,9,10,14,1508,1,2,3,1.0,3,69,"3, PAPIN DENIS -BD-",,,,110
200900028398,9,2,1,2000,3,2,9,1.0,1,207,grande rue CD192,M,0.0,0,910
200900025285,9,5,28,1245,1,2,1,1.0,6,280,DEMUSOIS ANTOINE,M,4.0,0,950
200900057138,9,8,17,1400,1,2,2,1.0,3,55,"2, BAILLE (BOULEVARD)",,,,130
200900029200,9,3,14,1110,1,2,1,1.0,6,55,STALINGRAD (SQUARE),,,,130
200900016054,9,8,7,2040,1,2,1,1.0,3,113,"84, BOULEVARD MASSENA",,,,750
