Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201500006101,3,486.0,,,2.0,2.0,34.0,565.0,0.0,2.0,3.0,0.0,60.0,1.0,0.0,3.0,0.0
201500053492,4,0.0,,,2.0,4.0,,,3.0,1.0,1.0,5.0,120.0,1.0,0.0,1.0,0.0
201500019755,3,5.0,,,2.0,1.0,12.0,500.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0
201500043970,4,,,,2.0,1.0,,,1.0,1.0,3.0,,,1.0,5.0,1.0,99.0
201500017151,4,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201500045037,1,4.0,,,3.0,5.0,3.0,0.0,0.0,1.0,1.0,20.0,175.0,2.0,0.0,1.0,99.0
201500000907,3,38.0,,,2.0,0.0,33.0,800.0,0.0,1.0,1.0,0.0,71.0,1.0,0.0,1.0,99.0
201500037668,3,3.0,,,2.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201500050655,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
201500039970,3,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
201500023357,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201500006753,3,26.0,,0,2.0,2.0,26.0,56.0,0.0,0.0,1.0,0.0,71.0,2.0,5.0,3.0,0.0
201500023194,2,250.0,,,2.0,1.0,40.0,825.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,99.0
201500012972,3,991.0,,,2.0,0.0,3.0,430.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,99.0
201500003915,3,15.0,,,2.0,2.0,6.0,800.0,0.0,1.0,1.0,0.0,50.0,2.0,0.0,1.0,0.0
201500048687,4,0.0,,,3.0,2.0,,,0.0,1.0,1.0,0.0,75.0,1.0,0.0,1.0,0.0
201500032495,6,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
201500019539,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201500010526,3,3.0,,,2.0,2.0,,,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,99.0
201500051529,4,0.0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
201500052006,4,0.0,,,0.0,3.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,99.0
201500016431,3,401.0,,,3.0,4.0,0.0,100.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201500042612,3,0.0,,,3.0,1.0,,,0.0,1.0,1.0,0.0,0.0,2.0,6.0,1.0,3.0
201500019115,3,33.0,,,2.0,2.0,0.0,0.0,,1.0,1.0,,,1.0,5.0,1.0,99.0
201500003026,3,26.0,,B,2.0,0.0,0.0,300.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,99.0
201500041648,2,,,,3.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
201500036519,3,449.0,,,2.0,2.0,0.0,400.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
201500035642,3,741.0,,,2.0,2.0,3.0,500.0,0.0,2.0,2.0,0.0,70.0,2.0,0.0,1.0,99.0
201500029044,9,0.0,,,2.0,2.0,,,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201500042860,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
201500044759,1,4.0,,,3.0,4.0,10.0,215.0,0.0,1.0,1.0,30.0,120.0,1.0,0.0,1.0,99.0
201500041682,3,0.0,,,2.0,3.0,,,0.0,1.0,1.0,0.0,900.0,1.0,0.0,0.0,99.0
201500007268,3,474.0,,,2.0,0.0,48.0,0.0,0.0,0.0,3.0,0.0,110.0,1.0,0.0,1.0,99.0
201500049320,1,351.0,,A,3.0,2.0,3.0,250.0,0.0,1.0,1.0,20.0,70.0,1.0,0.0,1.0,0.0
201500002727,3,810.0,,,2.0,0.0,103.0,520.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201500000613,3,125.0,,,2.0,2.0,6.0,421.0,0.0,1.0,1.0,,,1.0,0.0,0.0,0.0
201500012702,1,35.0,,A,3.0,2.0,0.0,0.0,0.0,1.0,2.0,20.0,70.0,1.0,0.0,1.0,0.0
