Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200800034748,0,7,0,0,2,1,2,A01
200800062172,0,15,0,0,2,2,1,B01
200800036588,0,7,0,0,2,1,13,A01
200800032797,0,7,0,0,2,1,0,A01
200800077016,0,7,0,0,1,1,1,A01
200800070605,0,7,0,0,0,8,9,A01
200800050112,0,7,0,0,2,1,15,A01
200800064944,0,33,0,0,2,1,1,B01
200800057376,0,33,0,0,2,1,1,B01
200800026747,2,10,0,0,2,1,1,B01
200800065413,0,33,0,0,1,1,1,A01
200800009631,0,2,0,0,0,0,0,A01
200800007640,0,32,0,0,2,7,17,B01
200800034750,0,7,0,0,9,6,15,B01
200800061823,0,7,0,0,2,3,15,A01
200800024791,0,7,0,0,1,7,1,A01
200800045703,0,30,0,0,1,2,0,A01
200800004190,0,10,0,0,1,2,1,A01
200800041997,0,34,0,0,2,2,16,B01
200800008151,0,7,0,0,2,8,11,A01
200800052628,0,2,0,0,2,1,1,B01
200800069365,0,7,0,0,2,8,13,A01
200800051239,0,7,0,0,2,3,9,A01
200800057513,0,2,0,0,2,1,1,A01
200800034685,0,30,0,0,2,8,13,A01
200800049644,0,1,0,0,0,4,1,B02
200800018981,0,7,0,0,2,1,1,A01
200800023274,0,7,0,0,2,2,1,B01
200800013456,0,14,0,0,2,0,0,C01
200800051811,0,7,0,0,2,7,17,A01
200800073722,0,2,0,0,2,1,13,A01
200800070467,0,7,0,0,2,1,2,B01
200800004340,0,7,0,0,1,3,1,A01
200800008292,0,2,0,0,2,3,7,B01
200800028701,0,7,0,8,0,2,1,A01
200800034703,2,7,0,0,1,2,1,A01
200800065328,0,7,0,0,0,0,0,C01
200800055667,0,33,0,0,2,1,1,B02
200800066128,0,7,0,0,0,4,1,D01
200800065546,0,7,0,0,1,3,1,A01
200800031299,0,33,0,0,2,1,1,B01
200800055337,0,7,0,2,0,2,13,A01
200800005498,0,7,0,0,2,1,13,A01
200800047924,0,10,0,2,0,2,0,A01
200800020232,0,33,0,0,2,1,1,B01
200800075901,0,10,0,0,2,1,13,A01
200800065991,0,2,0,0,2,8,2,A01
200800065757,0,7,0,0,2,3,15,A01
200800054638,0,10,0,0,2,2,2,C01
200800044525,0,7,0,0,2,2,9,A01
200800067005,0,7,0,0,2,1,1,B01
200800063372,0,7,0,0,2,1,1,B02
200800065917,0,7,0,0,2,3,1,A01
200800009674,0,1,0,0,2,4,2,B01
200800010929,0,7,0,0,1,2,1,A01
200800033097,0,33,0,8,2,6,1,B01
200800032718,0,7,0,0,2,6,20,B01
200800022443,0,13,0,0,0,4,2,B01
200800041986,0,7,0,3,0,1,21,A01
200800013775,0,31,0,0,0,7,1,A01
200800044180,0,7,0,0,2,0,0,B01
200800003754,0,7,0,0,2,4,15,A01
200800069744,0,33,0,0,6,7,1,A01
200800073128,0,30,0,0,2,1,2,A01
200800037814,0,30,0,8,0,3,1,A01
200800029127,0,7,0,0,2,1,15,A01
200800040559,0,7,0,0,2,4,2,B01
200800005251,0,7,0,15,2,1,14,A01
200800050211,0,2,0,0,2,2,17,A01
200800060569,0,7,0,16,2,8,10,A01
200800018936,0,7,0,1,2,6,1,B01
200800042086,0,7,0,0,0,0,2,A01
200800068948,0,31,0,0,2,1,1,A01
200800012358,0,7,0,0,2,2,1,B01
200800042659,0,33,0,0,2,3,2,A01
200800018230,0,7,0,0,1,2,17,A01
200800043377,0,7,0,0,0,2,1,B01
200800045983,0,7,0,0,2,1,1,B01
200800053756,0,7,0,0,2,4,2,C01
200800018416,0,30,0,0,2,1,1,B02
200800070363,0,7,0,0,2,6,9,A01
200800070815,0,10,0,0,1,2,1,A01
200800027399,0,7,0,0,1,4,4,A01
200800050725,0,7,0,0,2,2,15,A01
200800060880,0,7,0,0,2,3,1,B01
200800060079,0,13,0,0,2,1,1,B01
200800014749,0,7,0,0,2,4,2,B01
200800067547,0,7,0,0,2,7,1,A01
200800017165,0,7,0,0,2,6,2,B02
200800006911,0,2,0,0,2,7,1,B02
200800003473,0,32,0,0,0,0,0,A01
