Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201800057693,18,8,3,1033,1,2,1,1.0,3.0,611,kaweni-Europe (avenue),Y,1276967.0,4522217.0,976
201800037441,18,5,19,2215,5,2,3,1.0,3.0,12,"152, PARIS (RUE DE) 97BI",M,4884170.0,223445.0,920
201800037827,18,7,7,15,5,2,1,1.0,1.0,25,"34, CHARLES DE GAULLE (B",M,,,920
201800041970,18,4,7,1030,1,2,3,1.0,6.0,28,PARE/DE GAULLE,M,4878770.0,244634.0,940
201800000477,18,5,2,1700,1,2,6,2.0,7.0,188,Rond point D321,M,4930365.0,113003.0,270
201800022784,18,1,19,1815,3,1,3,2.0,3.0,410,D3,M,4907369.0,381197.0,510
201800033219,18,5,20,1010,1,1,1,2.0,1.0,43,départementale 14,M,4323983.0,634946.0,830
201800053116,18,9,13,1320,2,2,1,8.0,2.0,115,BOULEVARD GENERAL MARTIA,M,4883678.0,227626.0,750
201800008756,18,3,29,1525,1,2,1,1.0,7.0,55,178 Léon Lachamp,M,4324922.0,545122.0,130
201800008579,18,2,22,1000,1,2,1,1.0,3.0,55,19 Bd de Pont de Vivaux,M,4327969.0,541794.0,130
201800024375,18,7,26,1120,1,2,1,1.0,2.0,172,FABRE DE MORLHON (BOULEV,M,4358885.0,388919.0,340
201800004851,18,5,7,1425,1,1,1,1.0,7.0,23,route départementale 97,M,4901187.0,286788.0,770
201800029307,18,7,12,1920,1,1,3,1.0,2.0,43,BELLE CROIX (RUE DE LA),M,5071720.0,269408.0,590
201800023138,18,6,29,115,5,1,1,1.0,7.0,555,VA007473 A62,M,4364575.0,146698.0,310
201800004033,18,6,23,355,3,1,3,1.0,6.0,58,RD610,M,4369397.0,401078.0,340
201800039828,18,9,11,2250,3,2,1,1.0,1.0,27,BARBUSSE (AVENUE HENRI),M,4893200.0,239815.0,930
201800027877,18,4,4,1625,1,2,1,1.0,6.0,502,EXODE,M,4910491.0,-108606.0,500
201800022497,18,7,22,100,5,1,1,1.0,7.0,7,CYPRES (MONTEE DES),M,4410030.0,408100.0,300
201800033499,18,7,2,900,1,2,2,1.0,6.0,12,FLORISSANT (AVENUE),M,4619895.0,624509.0,740
201800008538,18,2,15,730,2,2,1,2.0,6.0,55,"15, DE SAINT LOUIS AU RO",M,4334799.0,535838.0,130
201800038706,18,7,20,1115,1,2,1,8.0,6.0,51,LONGCHAMP (RUE DE),M,4887797.0,225175.0,920
201800023901,18,4,20,1200,1,2,1,1.0,6.0,63,RUE DU CHATEAU D'EAU,M,4484092.0,-58337.0,330
201800055707,18,11,25,2305,3,2,4,2.0,7.0,120,ECHANGEUR BAGNOLET,M,4886493.0,241257.0,750
201800046513,18,4,10,2025,2,1,1,1.0,5.0,434,AUTOROUTE A6,M,4866897.0,235183.0,910
201800011987,18,6,9,2315,5,2,1,1.0,6.0,187,avenue de l'océan,M,4385172.0,-137691.0,400
201800031963,18,10,5,1815,1,2,3,1.0,3.0,482,JOSEPH WEYDMANN (RUE),M,4854669.0,775541.0,670
201800020816,18,3,6,1615,1,2,7,3.0,6.0,187,"5, REPUBLIQUE (Place de",M,4853544.0,-276997.0,220
201800028873,18,12,11,1058,1,2,1,1.0,1.0,121,CARNOT (RUE  LAZARE ),M,4774083.0,-336786.0,560
201800049876,18,6,6,820,1,1,1,1.0,2.0,55,A7-Sens Marseille vers L,M,4334246.0,537629.0,130
201800056657,18,11,29,910,1,1,9,7.0,1.0,113,SECTEUR DAMPIERRE,A,1620999.0,6147070.0,971
201800013283,18,2,13,1715,1,1,3,8.0,3.0,381,La Bourrelière,M,4860142.0,-97693.0,500
201800000589,18,9,16,1820,1,1,1,1.0,3.0,307,RD700,M,4844473.0,-280533.0,220
201800011077,18,2,11,2330,3,1,1,4.0,6.0,366,"0, JEAN XXIII (AVENUE)",,,,140
201800046005,18,7,19,440,5,1,1,1.0,6.0,64,A13,M,4883909.0,221822.0,920
201800018882,18,10,12,1732,1,1,1,1.0,7.0,94,Keranden,M,4778200.0,-323860.0,560
201800054147,18,7,3,2105,1,2,3,1.0,3.0,118,"41, RUE ORDENER",M,4889090.0,235320.0,750
201800050196,18,12,24,2150,3,1,1,1.0,3.0,81,A7-Sens Lyon vers Marsei,M,4347840.0,523980.0,130
201800009268,18,6,30,2240,5,2,9,1.0,1.0,55,chemin SAINTE MARTHE,M,4332350.0,538911.0,130
201800032390,18,3,9,1015,1,2,1,1.0,2.0,290,PETROLES (DES),M,4568859.0,491492.0,690
201800033812,18,7,6,825,1,2,3,1.0,3.0,351,GEORGE V (QUAI),M,4949099.0,11120.0,760
201800024322,18,5,8,1115,1,2,1,1.0,6.0,172,BOLOGNE (RUE DE),M,4363057.0,382020.0,340
201800029224,18,7,5,2225,4,2,3,1.0,3.0,194,MADEMOISELLE BOURGEOIS,M,4698000.0,312000.0,580
201800022735,18,5,23,1000,1,1,1,1.0,6.0,85,Lieux-dit LA CHASSE,M,4841676.0,-176581.0,350
201800006934,18,5,20,1825,1,1,1,1.0,6.0,137,a81 - PK 261+300,M,4807498.0,-94981.0,530
201800041118,18,1,30,1900,1,2,3,2.0,6.0,72,"00, ARISTIDE BRIAND (AVE",M,4896236.0,237978.0,930
201800051882,18,12,12,1115,1,2,1,1.0,6.0,111,BOULEVARD VOLTAIRE,M,4885427.0,238633.0,750
201800021139,18,12,22,1815,2,2,1,1.0,6.0,333,place Désiré Valette,M,4517644.0,481557.0,260
201800056221,18,6,24,1130,1,1,1,1.0,1.0,613,RD1 - PK 17+100,Y,1275126.0,4508703.0,976
201800049021,18,10,6,1544,1,1,1,1.0,5.0,63,ROCADE A 630,M,4488378.0,-55733.0,330
201800051962,18,3,18,1310,1,2,1,1.0,7.0,112,RUE ROBERT ETLIN,M,4882810.0,238901.0,750
201800047239,18,7,20,1523,1,1,1,1.0,6.0,120,MARANA (ROUTE),M,4265159.0,945111.0,202
201800009135,18,6,7,1145,1,2,1,1.0,6.0,55,BRETEUIL (RUE),M,4328649.0,537736.0,130
201800035697,18,6,8,1745,1,1,9,1.0,5.0,80,CD 942 DE CARPENTRAS A R,M,4404569.0,500134.0,840
201800057095,18,11,5,640,1,1,6,1.0,6.0,302,ROUTE NATIONALE 1,G,490660.0,5232250.0,973
201800013803,18,10,1,1830,1,1,1,1.0,6.0,367,le grand maillencourt,M,4794408.0,-8956.0,720
201800045052,18,7,7,130,3,1,1,1.0,2.0,48,AUTOROUTE A3,M,4887264.0,243460.0,930
201800003264,18,7,19,800,1,2,2,1.0,3.0,342,Avenue de Charolles,M,4645023.0,412784.0,710
201800027712,18,4,2,1915,1,2,1,1.0,7.0,129,ATLANTIQUE (BOULEVARD DE,M,4962973.0,-163252.0,500
201800010596,18,3,28,1215,1,1,1,2.0,3.0,117,RD 400 A,M,4927400.0,-12164.0,140
201800048350,18,6,20,1930,1,2,2,1.0,2.0,387,GARIBALDI,M,4574655.0,485008.0,690
201800027048,18,3,8,1200,1,1,1,1.0,2.0,31,LIEU DIT BRUQUIERES,M,4417270.0,65334.0,470
201800042058,18,11,23,1530,1,2,2,8.0,3.0,28,CHOISY(ROUTE DE),M,4877672.0,244150.0,940
201800057166,18,2,25,1615,1,2,1,1.0,1.0,407,CARPAYE(AVENUE),R,2094628.0,5529823.0,974
201800042019,18,8,12,1430,1,2,1,1.0,2.0,28,MECHES.(RUE DES),M,4879225.0,245768.0,940
201800000463,18,6,30,1200,1,1,2,1.0,1.0,343,intersection RD57 - RD65,M,4906414.0,137444.0,270
201800037210,18,10,25,1840,2,2,2,1.0,3.0,4,BAS ( RUE DES ),M,4891117.0,229846.0,920
201800013984,18,4,15,1710,1,2,3,1.0,3.0,189,Rue du Saintois,M,4846724.0,595371.0,540
201800032181,18,12,17,1650,2,2,1,1.0,6.0,224,KINGERSHEIM (RUE DE),M,4777303.0,732719.0,680
201800013718,18,9,21,1730,1,2,1,1.0,1.0,68,336 chemin des claps,M,4373546.0,694520.0,60
201800000587,18,7,13,1830,1,1,1,1.0,7.0,99,moulin de la ville cadio,M,4838426.0,-289224.0,220
201800001247,18,10,20,1450,1,1,3,1.0,7.0,12,D208 / R.des Guneres,M,4499900.0,-70402.0,330
201800008973,18,5,9,2045,5,2,1,2.0,3.0,55,SAINT LOUP (BOULEVARD DE,M,4328502.0,544076.0,130
201800047899,18,2,8,2135,3,1,1,1.0,2.0,435,AUTOROUTE A23,M,5050997.0,321115.0,590
201800016948,18,2,23,1445,1,1,1,1.0,1.0,551,RD 901,M,4898550.0,572411.0,550
201800051286,18,12,13,1940,3,2,7,1.0,3.0,117,PLACE DE LA PORTE MAILLO,M,4890000.0,228236.0,750
201800052294,18,12,21,2320,5,2,7,2.0,6.0,112,BOULEVARD DE PICPUS,M,4884519.0,240190.0,750
