Num_Acc,an,mois,jour,lum,agg,int,atm,col,senc,catv,occutc,obs,obsm,manv,catu,secu,catr,circ,nbv,prof,lartpc,larrout,surf,infra,situ,nb_veh,grav_simpl,Homme,Femme,Arrière,Autre_x,Avant,Conducteur,Autre_y,Inconnu,Loisirs,Professionnel,Travail,Adulte,Enfant,Jeune,Senior,choc_avant,choc_arriere,choc_lateral,choc_multiple,grav_order_max,heure,minute
201000006030,10,7,8,1,2,1,1.0,7.0,0.0,33.0,0.0,13.0,0.0,1.0,1,2,4.0,2.0,1.0,1.0,0.0,49.0,1,0.0,3.0,1,3,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,3,8,45
201200036902,12,12,14,5,2,1,2.0,3.0,1.0,7.0,0.0,0.0,2.0,4.0,1,2,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,2,2,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,1,1,0,0,2,17,30
201700051537,17,12,26,4,1,1,2.0,2.0,2.0,7.0,0.0,4.0,2.0,1.0,1,1,2.0,3.0,6.0,1.0,10.0,210.0,1,0.0,1.0,2,2,6,4,4,0,2,4,2,6,2,0,0,6,4,0,0,1,0,0,0,2,18,15
200700019036,7,4,6,1,2,3,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1,2,9.0,2.0,2.0,1.0,0.0,53.0,1,5.0,1.0,2,3,6,0,0,0,2,4,0,2,4,0,0,0,4,0,2,1,0,1,0,3,16,0
200900043976,9,9,30,1,2,1,1.0,3.0,0.0,10.0,0.0,0.0,2.0,1.0,1,1,4.0,2.0,2.0,1.0,0.0,58.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,0,2,0,2,2,2,0,0,1,0,1,0,3,17,40
201400035027,14,1,1,3,1,1,2.0,6.0,0.0,7.0,0.0,2.0,0.0,0.0,1,-1,3.0,2.0,2.0,2.0,0.0,60.0,1,0.0,3.0,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,4,1,0
200900029477,9,9,4,1,2,1,1.0,2.0,0.0,7.0,0.0,0.0,2.0,2.0,1,1,4.0,2.0,2.0,1.0,0.0,110.0,1,0.0,1.0,2,1,2,2,0,0,0,4,0,0,0,2,2,0,0,4,0,1,1,0,0,2,13,35
200800044164,8,8,22,1,2,2,2.0,3.0,0.0,13.0,0.0,0.0,2.0,1.0,1,1,4.0,2.0,3.0,1.0,0.0,89.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,2,0,2,0,0,2,2,0,1,0,1,0,3,8,45
201300054307,13,9,23,2,2,4,1.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1,-1,4.0,1.0,2.0,2.0,0.0,0.0,1,0.0,1.0,2,2,2,2,0,0,0,4,0,2,2,0,0,2,0,0,2,1,0,0,0,2,19,35
201300002521,13,8,20,1,1,1,1.0,7.0,0.0,30.0,0.0,13.0,0.0,1.0,1,2,3.0,2.0,1.0,2.0,0.0,50.0,1,0.0,1.0,1,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3,8,45
