Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201000010728,10,9,10,1345,1,1,1,7.0,6.0,614,,M,4744600.0,521100.0,210
201000041374,10,8,27,1145,1,2,2,1.0,3.0,91,"X, LENINE (AV)",,,,690
201000056602,10,4,13,1725,1,1,1,1.0,7.0,402,A13,,,,780
201000035255,10,12,1,1730,3,1,1,1.0,7.0,121,RN 67,M,4813180.0,510816.0,520
201000020469,10,2,10,1415,1,2,1,1.0,2.0,55,"243, AVE DE MONTOLIVET",,,,130
201000024910,10,12,23,1700,3,1,1,4.0,5.0,454,,A,0.0,0.0,80
201000067943,10,3,7,2130,5,2,1,1.0,3.0,15,RUE RAPHAEL BARQUISSEAU,R,0.0,0.0,974
201000054558,10,8,29,1525,1,2,1,1.0,3.0,491,PERI (RUE GABRIEL),M,4900030.0,224220.0,950
201000004624,10,10,30,1100,1,1,1,1.0,1.0,75,,M,0.0,0.0,400
201000012112,10,6,24,615,1,1,1,1.0,1.0,91,,M,0.0,0.0,60
201000004231,10,5,20,745,1,2,1,1.0,3.0,337,"D1113, rue de la liberté",M,0.0,0.0,330
201000006686,10,8,28,600,3,1,1,1.0,7.0,117,,M,4378240.0,198826.0,810
201000012957,10,7,14,1940,1,1,1,1.0,6.0,214,,M,4346468.0,326828.0,340
201000031497,10,2,2,2105,5,2,6,2.0,7.0,261,GRAMMONT (AVENUE DE),M,4737960.0,69301.0,370
201000042120,10,1,5,1600,1,2,1,1.0,6.0,181,LEFAUCHEUX PIERRE (BD),,,,720
201000049662,10,4,23,725,1,2,2,1.0,6.0,73,"60, JAURES (AVENUE JEAN)",,,,920
201000035262,10,6,5,825,1,2,6,1.0,3.0,448,"42, GAULLE (PLACE DU GEN",M,4863660.0,495570.0,520
201000042652,10,6,1,805,1,1,1,1.0,6.0,341,D6015,,,,760
201000034449,10,9,15,2205,5,2,1,1.0,7.0,7,"0, GRAND LAUNAY",M,4746730.0,-59349.0,490
201000051452,10,8,3,2145,4,2,1,1.0,6.0,55,"16, LAPEROUSE",,,,930
201000040820,10,8,3,1015,1,2,2,1.0,1.0,482,"PV, QUAI DES ALPES",,,,670
201000026900,10,10,27,1215,1,1,1,1.0,7.0,223,MONTDROUARD (COTE),M,4872750.0,139039.0,280
201000001686,10,10,1,1300,1,1,1,3.0,7.0,45,,M,4781600.0,-199100.0,350
201000067252,10,11,28,2150,5,2,4,1.0,6.0,113,ECHANGEUR ITALIE,,,,750
201000044932,10,4,13,1635,1,2,1,1.0,1.0,121,"0, MERCADIER (RUE E.)",,,,820
201000046019,10,10,1,440,3,1,1,1.0,6.0,194,ROCADE OUEST (RD 910),,,,860
201000043912,10,12,9,1633,5,2,1,1.0,2.0,401,GENERAL LECLERC (AVENUE,,,,780
