Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201600032365,4,0,,,2.0,3.0,,,0.0,1.0,0.0,0.0,80.0,2.0,0.0,1.0,0.0
201600004047,3,656,,,2.0,2.0,21.0,600.0,0.0,1.0,1.0,0.0,64.0,1.0,0.0,3.0,99.0
201600025230,4,,,,2.0,2.0,,,2.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,99.0
201600016994,4,29,,,2.0,2.0,,,0.0,1.0,2.0,0.0,0.0,9.0,0.0,3.0,99.0
201600018069,3,1085,,,2.0,3.0,20.0,510.0,0.0,1.0,1.0,0.0,100.0,1.0,0.0,1.0,0.0
201600027987,3,650,,,3.0,4.0,0.0,634.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
201600035096,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
201600041637,4,0.0,,,3.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,99.0
201600044914,1,4.0,,,3.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,105.0,1.0,0.0,1.0,99.0
201600011025,4,0,,,2.0,3.0,,,0.0,1.0,1.0,0.0,97.0,2.0,0.0,1.0,0.0
201600041565,3,0.0,,,2.0,1.0,,,0.0,1.0,1.0,60.0,60.0,1.0,3.0,1.0,99.0
201600044036,3,122.0,,,2.0,4.0,0.0,300.0,0.0,2.0,1.0,,,1.0,0.0,1.0,99.0
201600000972,4,,,,2.0,2.0,,,0.0,1.0,3.0,0.0,93.0,1.0,5.0,1.0,0.0
201600022307,3,60,,,2.0,2.0,6.0,345.0,0.0,1.0,1.0,0.0,36.0,2.0,0.0,1.0,99.0
201600034400,3,619.0,,,2.0,2.0,61.0,170.0,0.0,1.0,1.0,0.0,113.0,1.0,5.0,0.0,99.0
201600021255,4,,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600027451,4,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201600002997,3,813,,,2.0,3.0,75.0,0.0,0.0,1.0,1.0,0.0,150.0,1.0,5.0,1.0,99.0
201600036167,3,979.0,,,3.0,3.0,1.0,553.0,0.0,1.0,3.0,0.0,90.0,2.0,0.0,1.0,99.0
201600034436,3,308.0,,,2.0,2.0,12.0,990.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600039017,2,,,,1.0,3.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201600007985,3,8,,N,2.0,0.0,63.0,100.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201600047393,1,10.0,,,3.0,4.0,3.0,700.0,0.0,1.0,3.0,15.0,140.0,2.0,0.0,1.0,99.0
201600013392,4,0,,,2.0,2.0,,,0.0,2.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201600053988,4,0.0,,,2.0,2.0,34.0,0.0,0.0,1.0,1.0,60.0,60.0,2.0,0.0,1.0,99.0
201600027715,4,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,95.0,2.0,0.0,1.0,99.0
201600058846,4,0.0,,,2.0,1.0,,,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,99.0
201600041127,3,0.0,,,3.0,4.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201600020298,4,1,,,2.0,0.0,,,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201600034517,3,23.0,,,2.0,2.0,11.0,1109.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600023073,4,,,,,,,,,,,,,1.0,,1.0,
201600004986,4,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,30.0,1.0,0.0,3.0,99.0
201600009878,3,951,,,2.0,2.0,37.0,304.0,0.0,1.0,1.0,0.0,63.0,1.0,0.0,3.0,99.0
201600039209,3,0.0,,,2.0,3.0,,,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
201600031523,4,0,,,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
201600024665,4,,,,1.0,2.0,,,3.0,1.0,1.0,0.0,60.0,2.0,0.0,1.0,99.0
201600043531,4,,,,3.0,1.0,,,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,99.0
201600028310,4,,,,2.0,2.0,,,0.0,1.0,1.0,,109.0,1.0,0.0,1.0,99.0
201600054215,4,,,,1.0,1.0,,,0.0,1.0,0.0,0.0,50.0,1.0,0.0,1.0,99.0
201600016751,3,513,,,2.0,2.0,35.0,262.0,0.0,1.0,1.0,0.0,73.0,1.0,0.0,1.0,0.0
201600038877,2,,,,2.0,2.0,,,0.0,1.0,1.0,0.0,52.0,1.0,0.0,1.0,0.0
201600011808,4,0,,,2.0,2.0,,,0.0,4.0,3.0,0.0,49.0,2.0,0.0,1.0,0.0
201600020706,3,0,,,2.0,2.0,,,0.0,4.0,2.0,0.0,119.0,1.0,5.0,4.0,3.0
201600010677,3,9,,,2.0,1.0,,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,99.0
201600003699,4,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,25.0,1.0,2.0,1.0,0.0
201600032507,4,0,,,2.0,4.0,,,1.0,1.0,1.0,0.0,150.0,1.0,0.0,1.0,0.0
201600017318,9,0,,,2.0,0.0,,,0.0,0.0,1.0,70.0,0.0,1.0,0.0,1.0,0.0
201600046651,2,118.0,,,1.0,3.0,2.0,488.0,0.0,1.0,1.0,0.0,95.0,2.0,0.0,1.0,99.0
201600049199,4,0.0,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201600033036,4,0.0,,,3.0,6.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600025982,4,0,,,3.0,4.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201600014188,4,0,,,3.0,4.0,,,0.0,2.0,0.0,150.0,120.0,1.0,5.0,1.0,99.0
201600027496,4,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,0.0
201600024398,4,0,,,1.0,4.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
201600026407,3,2152,,,2.0,2.0,23.0,40.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600006066,3,55,,,1.0,1.0,0.0,790.0,0.0,1.0,3.0,107.0,0.0,1.0,0.0,1.0,99.0
201600049948,1,630.0,,,3.0,6.0,3.0,300.0,0.0,2.0,1.0,20.0,180.0,1.0,2.0,1.0,0.0
201600053233,4,,,,1.0,1.0,,,0.0,1.0,1.0,0.0,100.0,1.0,0.0,1.0,0.0
201600050326,1,42.0,,,3.0,2.0,4.0,80.0,0.0,1.0,3.0,0.0,70.0,2.0,0.0,3.0,99.0
201600023595,4,,,,1.0,2.0,,,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
201600019905,4,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,108.0,1.0,0.0,1.0,99.0
201600000055,3,18,,,2.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201600034117,3,301.0,,,2.0,2.0,6.0,445.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
201600050983,1,51.0,,,1.0,3.0,3.0,0.0,0.0,1.0,1.0,20.0,105.0,1.0,0.0,0.0,0.0
201600030234,3,90,,,3.0,0.0,,,0.0,1.0,1.0,0.0,33.0,2.0,0.0,1.0,99.0
201600030246,4,0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,50.0,1.0,0.0,1.0,0.0
201600032412,4,0,,,2.0,5.0,,,1.0,1.0,0.0,93.0,163.0,1.0,0.0,0.0,0.0
201600019128,2,193,,,2.0,2.0,11.0,900.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201600049285,4,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
201600000110,4,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,35.0,1.0,0.0,3.0,99.0
201600052960,4,,,,2.0,4.0,,,0.0,1.0,1.0,10.0,140.0,1.0,0.0,1.0,99.0
201600050228,1,383.0,,,3.0,4.0,6.0,950.0,0.0,1.0,1.0,20.0,140.0,1.0,0.0,1.0,0.0
201600056747,4,,,,1.0,4.0,,,0.0,1.0,0.0,0.0,69.0,1.0,3.0,1.0,99.0
201600019926,4,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,55.0,1.0,0.0,1.0,99.0
201600032226,3,0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201600053261,4,,,,2.0,2.0,,,0.0,1.0,1.0,10.0,100.0,1.0,0.0,1.0,99.0
201600002855,3,47,,,2.0,2.0,21.0,200.0,0.0,0.0,3.0,0.0,60.0,1.0,0.0,1.0,0.0
201600045020,1,86.0,,,3.0,2.0,36.0,0.0,0.0,1.0,1.0,25.0,70.0,1.0,0.0,1.0,99.0
201600013326,3,67,,,0.0,2.0,1.0,664.0,0.0,1.0,2.0,0.0,69.0,1.0,0.0,1.0,99.0
201600056057,4,,,,1.0,2.0,,,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600034454,3,30.0,,,0.0,0.0,19.0,332.0,0.0,1.0,1.0,0.0,72.0,1.0,0.0,0.0,99.0
201600059125,4,0.0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201600007252,3,34,,,2.0,2.0,57.0,900.0,0.0,1.0,1.0,0.0,58.0,1.0,0.0,1.0,99.0
201600012173,1,10,,,3.0,4.0,270.0,288.0,0.0,1.0,1.0,30.0,70.0,1.0,0.0,2.0,99.0
201600058772,4,0.0,,,2.0,1.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
201600003565,3,60,,,2.0,2.0,5.0,200.0,0.0,2.0,4.0,0.0,62.0,2.0,0.0,1.0,0.0
201600006940,3,994,,,2.0,2.0,,,0.0,1.0,1.0,0.0,62.0,1.0,5.0,1.0,99.0
201600018684,3,97,,,2.0,2.0,0.0,500.0,0.0,4.0,2.0,0.0,37.0,2.0,0.0,3.0,99.0
201600024204,4,,,,3.0,8.0,,,0.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0
201600026360,3,956,,,2.0,2.0,0.0,860.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201600006416,3,166,,,2.0,2.0,17.0,600.0,0.0,3.0,1.0,0.0,77.0,2.0,0.0,1.0,99.0
201600029836,4,0,,,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,0.0
201600013912,4,0,,,2.0,3.0,,,0.0,2.0,1.0,0.0,120.0,1.0,0.0,1.0,0.0
201600057290,4,0.0,,,1.0,4.0,22.0,300.0,0.0,1.0,1.0,15.0,140.0,1.0,0.0,0.0,99.0
201600050309,1,7.0,,,3.0,3.0,5.0,500.0,0.0,1.0,1.0,10.0,140.0,2.0,0.0,1.0,0.0
201600030716,4,,,,2.0,2.0,,,0.0,2.0,1.0,0.0,89.0,1.0,0.0,1.0,99.0
201600033900,4,,,,1.0,1.0,,,0.0,1.0,1.0,,,1.0,0.0,0.0,0.0
201600043445,2,,,,2.0,4.0,,,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,99.0
201600042429,3,5.0,,,3.0,2.0,0.0,1.0,0.0,1.0,1.0,35.0,110.0,1.0,0.0,1.0,99.0
201600024922,4,0,,,2.0,1.0,,,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600022702,4,0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
201600026608,4,0,,,2.0,2.0,,,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,99.0
201600039680,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,40.0,30.0,1.0,5.0,1.0,99.0
201600002528,3,3,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600038518,4,0.0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600009130,4,,,,2.0,2.0,,,0.0,2.0,1.0,0.0,75.0,1.0,6.0,1.0,3.0
201600005119,3,518,,,2.0,2.0,2.0,60.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,99.0
201600049636,2,230.0,,,3.0,6.0,43.0,500.0,0.0,1.0,1.0,15.0,210.0,1.0,0.0,1.0,0.0
201600014165,4,0,,,2.0,4.0,,,0.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,99.0
201600021335,3,574,,,2.0,2.0,3.0,255.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
201600053513,4,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201600008365,3,17,,,2.0,2.0,9.0,500.0,0.0,0.0,1.0,30.0,60.0,1.0,0.0,1.0,99.0
201600038054,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201600018401,3,10,,7,2.0,2.0,0.0,500.0,0.0,1.0,1.0,0.0,85.0,1.0,0.0,1.0,0.0
201600034647,2,10.0,,,0.0,2.0,,,0.0,1.0,0.0,20.0,100.0,1.0,5.0,1.0,0.0
