Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201600032365,16,3,3,1635,1,2,1,1,3.0,482,"0, BELGES (QUAI DES)",M,4857416.0,777125.0,670
201600004047,16,10,15,2230,3,1,1,1,6.0,300,,M,0.0,0.0,460
201600025230,16,7,7,2050,1,2,2,1,3.0,238,ST BRIEUC/MARBEUF,M,4811200.0,-170236.0,350
201600016994,16,11,6,2200,3,1,1,1,6.0,74,LES CHAMPS HUDAULT,M,4725641.0,11437.0,370
201600018069,16,5,15,645,1,1,1,1,6.0,267,,M,4541934.0,532754.0,380
201600027987,16,5,7,100,5,2,1,1,7.0,129,BD DE L'ATLANTIQUE,M,4962900.0,-162643.0,500
201600035096,16,9,9,800,1,2,1,1,6.0,121,"NC, GAMBETTA (AVENUE)",M,4401542.0,135722.0,820
201600041637,16,11,29,1930,5,2,1,1,6.0,70,"3-7, VICTOR-HUGO (BD)",,,,930
201600044914,16,7,13,1830,1,1,1,1,3.0,69,A4,M,4881720.0,244334.0,940
201600011025,16,4,4,1845,2,2,1,2,3.0,88,"14, GAMBETTA (JUSQU'AU N",M,4369593.0,725636.0,60
201600041565,16,11,29,1830,5,2,1,1,3.0,66,"112, CROIZAT AMBROISE RD",,,,930
201600044036,16,6,19,2055,1,2,1,1,2.0,18,AV GABRIEL PERI,M,4894420.0,225090.0,950
201600000972,16,5,12,1245,1,2,6,1,6.0,93,RUE DE BELLE ISSUE,M,4846797.0,-250688.0,220
201600022307,16,7,12,1310,1,1,1,2,4.0,7,CASSIN (RUE RENE),M,4411188.0,410539.0,300
201600034400,16,10,3,500,5,1,3,1,3.0,459,D619 X D74A,M,4855146.0,331955.0,770
201600021255,16,1,14,1107,1,2,1,2,7.0,281,BOULEVARD  LIBERATION,M,4504670.0,504680.0,260
201600027451,16,2,1,1240,1,2,6,1,6.0,246,"82, BOUTTON AVENUE",M,4743977.0,-50238.0,490
201600002997,16,8,7,1500,1,2,2,1,2.0,157,AVENUE JEAN JAURES,M,4450120.0,15876.0,470
201600036167,16,10,17,1134,1,2,1,2,3.0,85,FEYTIAT (RUE DE),M,4581830.0,129322.0,870
201600034436,16,2,2,2030,5,2,2,1,6.0,498,"60, ROBESPIERRE BD",M,4893341.0,205011.0,780
201600039017,16,9,27,1215,1,2,1,1,2.0,51,"192, CHARLES DE GAULLE (",,,,920
201600007985,16,5,29,1130,1,1,1,1,1.0,30,,M,4326601.0,566557.0,130
201600047393,16,3,4,900,1,1,1,2,3.0,377,AUTOROUTE A10,M,4871637.0,229079.0,910
201600013392,16,2,29,1840,5,2,1,1,3.0,1,DE LATTRE DE TASSIGNY (A,M,4353446.0,543603.0,130
201600053988,16,9,14,2010,1,2,2,2,6.0,113,"34, RUE DE LA GLACIERE",M,4883420.0,234480.0,750
201600027715,16,10,1,750,2,1,3,1,6.0,7,RAFFOUX CHEMIN,M,4750488.0,-56983.0,490
201600058846,16,10,26,935,1,2,3,1,6.0,302,"12, DE GAULLE (AVENUE)",,,,973
201600041127,16,5,29,245,5,2,1,1,2.0,55,"176, GENERAL LECLERC(AVE",,,,930
201600020298,16,4,11,1530,1,2,1,1,6.0,9,,M,0.0,0.0,202
201600034517,16,7,26,1640,1,2,3,1,2.0,621,"INDT, VAILLANT COUTURIER",,,,780
201600023073,16,8,29,1135,1,2,2,1,3.0,69,TIERS ETAT (CH DU),M,4365746.0,139690.0,310
201600004986,16,3,13,1700,1,1,1,1,7.0,453,route des plans,M,4510580.0,532896.0,380
201600009878,16,7,14,730,1,1,1,1,6.0,184,,M,4772037.0,250775.0,450
201600039209,16,3,13,1440,1,2,1,1,3.0,64,MARCEL DASSAULT,,,,920
201600031523,16,1,31,2045,5,2,1,2,2.0,445,AVENUE GASTON LACOSTE,M,4329244.0,-36366.0,640
201600024665,16,5,13,1830,1,2,1,2,6.0,172,"29, GAMBETTA (COURS)",M,4360700.0,387094.0,340
201600043531,16,5,9,1426,1,2,1,1,1.0,68,ANCIENS COMBATTANTS D'IN,M,4880800.0,250539.0,940
201600028310,16,4,23,1550,1,2,2,1,1.0,454,BD ALBER 1ER/COUTURIER,M,4927339.0,401489.0,510
201600054215,16,5,28,1830,1,2,1,1,6.0,114,"32, RUE DE L OUEST",M,4883670.0,232058.0,750
201600016751,16,8,13,1412,1,2,1,1,5.0,117,CAEN (ROUTE DE),M,4927940.0,-14395.0,140
201600038877,16,9,25,1720,1,2,2,1,6.0,50,COUCHANT BOULEVARD DU,,,,920
201600011808,16,4,1,1800,1,2,1,1,1.0,271,Route de la Barrolière,M,4547148.0,456118.0,420
201600020706,16,7,17,645,1,2,1,1,6.0,275,CHARLUSSET (RUE DE),M,4554988.0,230708.0,190
201600010677,16,4,22,1300,1,2,1,1,7.0,69,PEGOMAS (ROUTE DE),M,4300000.0,600000.0,60
201600003699,16,7,7,1030,1,2,1,1,7.0,375,chemin de tuileries et c,M,4320438.0,123309.0,310
201600032507,16,6,22,1145,1,2,2,1,7.0,482,"0, ALPES (QUAI DES)",,,,670
201600017318,16,11,19,1100,1,2,1,1,6.0,46,avenue Aristide Briand,M,0.0,0.0,360
201600046651,16,2,2,1355,1,1,1,1,7.0,48,N118,,,,920
201600049199,16,5,17,2040,1,2,2,1,3.0,386,BOSSUET,M,4576804.0,485264.0,690
201600033036,16,5,12,945,1,2,2,1,3.0,29,"0, LIONEL TERRAY",M,4543480.0,453285.0,690
201600025982,16,10,10,1340,1,2,2,1,3.0,261,HEURTELOUP (BOULEVARD),M,4739126.0,69534.0,370
201600014188,16,2,29,1930,5,2,6,1,3.0,55,"00, FLORIAN ( ROND POINT",M,4328512.0,542589.0,130
201600027496,16,3,11,1925,2,2,1,1,2.0,7,VIGAN PLACE,M,4747389.0,-57819.0,490
201600024398,16,12,8,2130,5,2,2,1,6.0,63,BD DU PRESIDENT WILSON,M,4484021.0,-59937.0,330
201600026407,16,12,1,1730,5,2,1,1,4.0,47,,M,4761218.0,135980.0,410
201600006066,16,7,7,230,3,1,6,1,6.0,43,GN 49.246 6.181,M,0.0,0.0,570
