Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
201400021539,0,7,0,0.0,1.0,3.0,2.0,A01
201400036263,0,7,0,0.0,1.0,1.0,1.0,A01
201400047437,0,15,0,0.0,2.0,8.0,1.0,B01
201400029808,0,7,0,0.0,2.0,3.0,0.0,A01
201400026219,0,1,0,0.0,2.0,1.0,1.0,B01
201400002873,0,10,0,0.0,0.0,9.0,1.0,A01
201400017876,0,2,0,0.0,2.0,1.0,1.0,A01
201400049871,0,10,0,3.0,0.0,1.0,0.0,A01
201400035392,0,7,0,0.0,0.0,2.0,15.0,A01
201400033760,0,7,0,0.0,1.0,5.0,0.0,A01
201400025104,1,7,0,0.0,2.0,0.0,17.0,Z01
201400034381,0,7,0,0.0,2.0,1.0,1.0,B01
201400002829,0,99,0,1.0,0.0,1.0,13.0,A01
201400021176,0,7,0,0.0,2.0,7.0,9.0,A01
201400030377,0,33,0,0.0,2.0,3.0,5.0,B02
201400015881,0,7,0,0.0,2.0,4.0,1.0,B01
201400034757,0,7,0,0.0,2.0,2.0,0.0,A01
201400030345,0,7,0,0.0,2.0,1.0,9.0,B01
201400027679,1,7,0,15.0,1.0,1.0,0.0,Z01
201400028581,0,7,0,0.0,0.0,1.0,1.0,C01
201400023520,0,7,0,0.0,2.0,0.0,0.0,B01
201400023493,0,7,0,0.0,1.0,0.0,0.0,B01
201400001503,0,33,0,0.0,2.0,3.0,17.0,B02
201400040304,0,32,0,0.0,0.0,3.0,1.0,A01
201400029148,0,7,0,0.0,1.0,3.0,1.0,A01
201400018452,0,7,0,0.0,2.0,7.0,19.0,A01
201400016545,0,7,0,0.0,2.0,1.0,5.0,A01
201400020775,0,7,0,0.0,2.0,2.0,1.0,A01
201400002532,0,33,0,0.0,2.0,1.0,1.0,B02
201400002718,0,7,0,0.0,2.0,1.0,17.0,A01
201400058380,0,33,0,0.0,2.0,1.0,1.0,A01
201400045548,0,7,0,0.0,2.0,1.0,1.0,B01
201400005118,0,7,0,0.0,2.0,8.0,1.0,B02
201400026090,0,7,0,0.0,1.0,8.0,1.0,A01
201400003149,0,15,0,0.0,2.0,3.0,1.0,B02
201400040745,0,7,0,7.0,2.0,4.0,1.0,A01
201400032260,0,31,0,0.0,2.0,1.0,1.0,B01
201400059213,0,7,0,0.0,9.0,1.0,15.0,A01
201400009354,0,31,0,0.0,2.0,1.0,1.0,B02
201400014146,0,99,0,0.0,2.0,7.0,2.0,B01
201400023854,0,10,0,0.0,9.0,0.0,1.0,A01
201400011333,0,7,0,0.0,2.0,1.0,1.0,A01
201400034216,0,1,0,0.0,2.0,1.0,1.0,B01
201400003508,0,7,0,0.0,2.0,1.0,15.0,A01
201400017667,0,7,0,0.0,2.0,2.0,1.0,B02
201400042465,0,2,0,0.0,1.0,1.0,1.0,A01
201400003576,0,7,0,0.0,0.0,2.0,1.0,A01
201400039175,0,14,0,0.0,2.0,7.0,12.0,A01
201400050857,0,10,0,0.0,2.0,4.0,0.0,C01
201400024811,0,7,0,0.0,0.0,2.0,15.0,A01
201400021871,0,7,0,2.0,0.0,8.0,0.0,A01
201400025382,1,34,0,0.0,1.0,0.0,1.0,Z01
201400037225,0,7,0,0.0,2.0,8.0,1.0,C01
201400024110,0,40,0,0.0,1.0,2.0,1.0,A01
201400018185,0,14,0,6.0,0.0,2.0,1.0,A01
201400021055,0,7,0,0.0,1.0,1.0,15.0,A01
201400053212,0,10,0,0.0,2.0,3.0,8.0,B01
201400043649,0,33,0,0.0,0.0,9.0,2.0,B01
201400031880,0,10,0,0.0,2.0,8.0,15.0,B01
201400043492,0,32,0,0.0,2.0,2.0,1.0,B01
201400014583,1,7,0,0.0,1.0,0.0,1.0,Z01
201400055955,0,30,0,0.0,2.0,7.0,1.0,B01
201400058236,0,7,0,0.0,2.0,3.0,21.0,C03
201400020174,0,7,0,14.0,0.0,3.0,2.0,A01
201400001341,0,31,0,0.0,2.0,1.0,1.0,B02
201400008470,0,10,0,0.0,2.0,8.0,1.0,C03
201400051929,0,30,0,0.0,0.0,0.0,1.0,A01
201400023136,0,33,0,0.0,2.0,0.0,0.0,B01
201400043469,0,7,0,1.0,1.0,1.0,0.0,A01
201400007841,0,7,0,0.0,2.0,1.0,1.0,B02
201400027436,0,7,0,0.0,2.0,0.0,2.0,B01
201400029495,0,10,0,0.0,2.0,1.0,2.0,A01
201400037487,0,30,0,0.0,2.0,1.0,1.0,B01
201400053203,0,1,0,0.0,1.0,1.0,7.0,A01
201400041640,0,10,0,0.0,2.0,4.0,5.0,A01
201400000628,0,33,0,14.0,0.0,2.0,0.0,A01
201400008710,0,7,0,0.0,2.0,3.0,17.0,A01
201400031948,0,1,0,0.0,2.0,0.0,1.0,B01
201400020481,0,7,0,0.0,2.0,3.0,15.0,A01
201400032420,0,33,0,0.0,0.0,7.0,1.0,A01
201400050853,0,7,0,0.0,2.0,4.0,1.0,C01
201400005297,0,7,0,0.0,0.0,2.0,17.0,A01
201400026953,0,7,0,0.0,0.0,4.0,23.0,C01
201400054872,0,32,0,0.0,1.0,2.0,1.0,A01
201400031887,0,2,0,0.0,2.0,8.0,2.0,B01
201400009323,0,7,0,0.0,2.0,1.0,1.0,C03
201400038390,0,7,0,0.0,1.0,1.0,1.0,A01
201400030017,0,7,0,0.0,1.0,2.0,1.0,A01
201400001498,0,33,0,0.0,0.0,0.0,1.0,A01
201400025097,0,7,0,0.0,2.0,4.0,2.0,B01
201400037444,0,1,0,0.0,2.0,8.0,0.0,B01
201400010037,0,33,0,8.0,0.0,1.0,21.0,A01
201400057626,0,33,0,9.0,0.0,1.0,1.0,A01
201400011743,0,15,0,0.0,0.0,4.0,2.0,B02
201400006098,0,7,0,2.0,0.0,9.0,1.0,A01
201400021733,0,7,0,0.0,2.0,5.0,2.0,B01
201400053012,0,7,0,0.0,2.0,4.0,23.0,B01
201400036694,0,7,0,0.0,2.0,1.0,5.0,C01
201400059718,1,7,0,0.0,1.0,4.0,4.0,A01
201400048965,0,33,0,0.0,0.0,7.0,1.0,A01
201400016543,0,7,0,4.0,0.0,2.0,1.0,A01
201400025115,0,7,0,0.0,2.0,3.0,1.0,B01
201400048734,0,7,0,0.0,2.0,1.0,1.0,A01
201400001558,0,30,0,0.0,2.0,1.0,1.0,B01
201400049358,0,7,0,0.0,2.0,3.0,1.0,B01
201400029575,0,7,0,0.0,2.0,1.0,2.0,A01
201400026986,0,33,0,0.0,2.0,7.0,1.0,B01
201400040434,0,7,0,0.0,2.0,3.0,15.0,B01
201400030525,0,7,0,0.0,0.0,4.0,15.0,B01
201400017401,0,7,0,8.0,0.0,3.0,13.0,A01
201400001829,0,7,0,0.0,1.0,2.0,1.0,A01
201400045679,0,7,0,0.0,2.0,4.0,23.0,C01
201400056759,0,1,0,0.0,2.0,1.0,7.0,B01
201400059657,0,7,0,0.0,0.0,1.0,14.0,A01
