Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201200000254,3,2.0,,,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,66.0,2.0,0.0,1.0,0.0
201200049333,1,86.0,,,1.0,3.0,3.0,600.0,0.0,2.0,2.0,15.0,105.0,2.0,0.0,1.0,0.0
201200031655,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
201200011077,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,31.0,1.0,0.0,1.0,0.0
201200047706,3,143.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201200030486,3,32.0,,,2.0,3.0,42.0,0.0,0.0,2.0,2.0,34.0,34.0,2.0,0.0,1.0,99.0
201200027466,4,0.0,,,1.0,2.0,,,0.0,1.0,0.0,0.0,90.0,2.0,5.0,1.0,0.0
201200016595,4,,,,2.0,5.0,,,0.0,1.0,1.0,0.0,143.0,1.0,0.0,1.0,0.0
201200009039,3,906.0,,,2.0,2.0,21.0,100.0,0.0,1.0,2.0,0.0,60.0,1.0,0.0,3.0,99.0
201200033658,4,0.0,,,2.0,0.0,,,0.0,1.0,1.0,0.0,74.0,1.0,0.0,1.0,99.0
201200057810,4,0.0,,,3.0,4.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
201200037446,3,94.0,,,3.0,2.0,10.0,0.0,0.0,2.0,1.0,30.0,60.0,1.0,0.0,1.0,0.0
201200001639,3,24.0,,,2.0,2.0,7.0,416.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
201200028713,4,,,,3.0,2.0,,,0.0,1.0,1.0,24.0,55.0,1.0,0.0,1.0,0.0
201200027516,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,55.0,1.0,0.0,1.0,0.0
201200009452,3,191.0,,,2.0,0.0,71.0,900.0,0.0,1.0,1.0,0.0,60.0,9.0,0.0,1.0,0.0
201200059663,4,0.0,,,2.0,4.0,,,0.0,1.0,1.0,12.0,86.0,1.0,0.0,1.0,0.0
201200037562,4,0.0,,,2.0,2.0,,,0.0,1.0,3.0,10.0,70.0,2.0,0.0,1.0,0.0
201200006995,3,1.0,,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,78.0,0.0,1.0,0.0,1.0,0.0
201200019743,4,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,65.0,1.0,0.0,3.0,99.0
201200036147,4,0.0,,,2.0,3.0,,,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,99.0
201200024728,4,0.0,,,2.0,2.0,,,1.0,1.0,1.0,18.0,100.0,1.0,5.0,1.0,0.0
201200014340,4,,,,2.0,5.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201200049086,1,3.0,,,3.0,4.0,1.0,510.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201200021974,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,70.0,2.0,0.0,1.0,99.0
201200052693,3,301.0,,,3.0,2.0,4.0,300.0,0.0,1.0,1.0,15.0,35.0,1.0,0.0,1.0,0.0
201200001001,4,4.0,,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,9.0,0.0,3.0,0.0
201200022507,4,,,,2.0,2.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201200054871,4,0.0,,,2.0,0.0,,,0.0,1.0,1.0,0.0,160.0,1.0,0.0,1.0,99.0
201200029348,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,59.0,1.0,0.0,1.0,99.0
201200019600,3,84.0,,,0.0,1.0,3.0,900.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,99.0
201200023918,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,35.0,1.0,0.0,1.0,0.0
201200042666,3,406.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,48.0,1.0,0.0,1.0,99.0
201200053601,4,0.0,,,1.0,2.0,,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
201200020869,4,0.0,,,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201200036306,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,75.0,1.0,0.0,1.0,0.0
201200046273,3,0.0,,,2.0,2.0,,,1.0,1.0,1.0,159.0,79.0,0.0,0.0,1.0,3.0
201200052082,4,0.0,,,1.0,2.0,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0
201200053954,4,0.0,,,2.0,4.0,,,3.0,1.0,1.0,0.0,120.0,2.0,0.0,1.0,99.0
201200013788,3,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,77.0,1.0,0.0,1.0,99.0
201200014814,4,,,,2.0,3.0,,,3.0,1.0,0.0,0.0,170.0,1.0,0.0,1.0,0.0
201200054021,4,0.0,,,1.0,1.0,,,0.0,2.0,1.0,0.0,400.0,1.0,0.0,1.0,3.0
201200026696,4,,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201200027796,4,,,,2.0,2.0,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201200029026,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,285.0,2.0,0.0,1.0,0.0
201200041136,3,31.0,,,2.0,2.0,30.0,200.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0
201200000274,3,129.0,,,2.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,50.0,7.0,2.0,1.0,99.0
201200009790,6,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,99.0
201200039587,4,0.0,,,2.0,1.0,,,0.0,2.0,1.0,0.0,50.0,1.0,5.0,0.0,99.0
