Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200500068207,0,1,0,0,2,3,1,B01
200500069753,0,5,0,0,2,1,2,B01
200500053087,0,5,0,0,2,1,1,C01
200500066073,0,7,0,0,1,0,4,A01
200500045023,0,7,0,15,0,1,1,A01
200500057577,0,7,0,0,2,1,13,A01
200500083040,0,7,0,0,2,2,2,C01
200500008735,0,4,0,0,2,3,1,A01
200500044463,0,7,0,0,2,7,15,B01
200500059720,0,5,0,0,2,1,1,A01
200500054799,0,7,0,0,0,1,15,B02
200500065360,0,7,0,0,2,3,15,B01
200500019641,0,1,0,0,2,1,1,B01
200500009698,0,5,0,0,2,1,1,B01
200500073411,0,7,0,1,0,1,13,A01
200500005905,0,2,0,0,2,1,1,B01
200500019054,0,7,0,0,2,1,1,A01
200500073752,0,7,0,0,2,5,6,A01
200500037971,0,5,0,0,2,1,1,B02
200500002899,0,7,0,0,2,1,2,B01
200500047197,0,7,0,0,0,5,2,B01
200500022863,0,7,0,0,2,2,15,A01
200500017434,0,1,0,0,2,1,1,B01
200500067606,0,7,0,0,0,7,12,B01
200500062022,0,5,0,0,2,1,11,B01
200500051496,0,5,0,0,2,4,23,B01
200500037192,0,7,0,0,0,5,14,A01
200500057055,0,2,0,0,2,1,1,B01
200500051804,0,7,0,0,2,7,1,B01
200500032896,0,7,0,0,2,2,15,A01
200500072074,0,7,0,0,2,2,3,A01
200500038272,0,7,0,0,2,1,13,A01
200500026824,0,7,0,0,2,7,16,B02
200500060446,0,7,0,5,0,1,5,A01
200500021720,0,5,0,0,1,1,21,A01
200500043004,0,2,0,0,0,0,1,A01
200500021479,0,7,0,0,2,3,1,A01
200500068019,0,14,0,0,2,2,16,A01
200500061047,0,1,0,0,2,8,2,B01
200500053346,0,4,0,0,2,2,1,B01
200500031133,0,7,0,0,2,1,21,B01
200500004078,0,7,0,0,2,2,1,A01
200500057764,0,7,0,0,2,4,2,B01
200500086278,0,7,0,0,1,1,14,A01
200500047045,0,20,0,0,0,4,2,B01
200500060285,0,7,0,0,2,4,1,B01
200500071881,0,7,0,13,0,8,17,A01
200500084303,0,7,0,4,2,7,1,B01
200500024587,0,7,0,0,9,1,2,C03
200500003731,0,1,0,0,2,1,1,A01
200500012927,0,7,0,0,1,3,1,A01
200500002934,0,7,0,0,1,8,4,A01
200500040749,0,7,0,0,2,5,19,A01
200500000226,0,7,0,0,2,3,15,A01
200500004834,0,4,0,1,0,1,1,A01
200500078790,0,5,0,0,2,1,0,B02
200500050974,0,5,0,0,2,3,1,B01
200500050279,0,1,0,0,0,0,1,B01
200500037257,0,7,0,4,2,2,17,A01
200500035861,0,7,0,0,1,2,1,A01
200500082908,1,7,0,0,1,2,1,A01
200500039036,0,7,0,0,0,2,15,A01
200500051475,0,7,0,0,2,6,15,B01
200500000923,0,7,0,0,0,1,1,A01
200500036988,0,7,0,0,1,1,1,A01
200500031624,0,7,0,0,2,1,1,A01
200500066041,0,7,0,0,1,2,1,A01
200500030546,0,7,0,13,2,3,2,B01
200500027184,0,7,0,0,1,4,1,B01
200500010530,0,7,0,6,0,3,1,A01
200500024371,0,7,0,0,0,0,0,A01
200500005241,0,2,0,0,0,4,15,B01
200500000866,0,7,0,0,1,2,17,A01
200500033530,0,7,0,0,2,8,1,A01
200500073839,0,7,0,0,2,3,23,B01
200500014999,0,7,0,0,2,4,23,B01
200500012316,0,7,0,0,2,3,1,B02
200500019695,0,7,0,0,1,1,0,A01
200500057023,0,5,0,0,2,1,1,B01
200500073052,0,2,0,0,2,4,2,A01
200500056487,0,2,0,0,0,1,19,A01
200500076265,0,7,0,0,2,2,10,A01
200500050274,0,7,0,0,2,0,15,B01
200500076461,0,7,0,0,1,1,1,A01
200500027592,0,7,0,0,2,1,1,B01
200500051670,1,7,0,1,2,3,2,B01
200500046758,0,7,0,0,2,4,1,B01
200500016527,0,4,0,0,0,1,1,A01
200500026293,0,1,0,0,0,3,11,B02
200500035799,0,18,1,0,1,1,1,A01
200500061001,0,7,0,0,2,8,12,C01
200500056874,0,2,0,0,2,7,1,A01
200500024793,0,7,0,0,2,8,15,A01
200500000134,0,7,0,0,2,1,1,B02
200500039426,0,7,0,0,2,3,13,A01
200500087357,0,7,0,0,1,1,1,A01
200500061144,0,7,0,0,2,4,1,B01
200500030924,0,7,0,0,2,0,1,B01
200500023480,0,7,0,0,2,3,17,A01
200500010625,0,2,0,0,2,1,11,A01
200500080145,0,7,0,6,2,3,1,B01
200500033161,0,2,0,0,2,2,15,A01
200500059992,0,7,0,0,2,3,15,A01
200500072748,0,18,2,0,2,6,2,B01
200500081743,0,7,0,0,2,8,1,A01
200500059333,0,2,0,0,2,7,14,A01
200500070600,0,5,0,0,2,1,1,B02
200500073429,0,2,0,0,2,1,2,B01
200500076028,0,7,0,0,2,3,2,A01
200500015200,0,7,0,0,2,4,23,B01
200500007576,0,7,0,0,2,1,15,A01
200500085214,0,7,0,0,1,2,1,A01
200500085996,0,7,0,0,2,2,1,B02
200500023015,0,7,0,0,0,3,0,C03
200500059090,0,7,0,0,2,1,1,A01
200500082489,0,7,0,0,2,1,1,A01
200500024547,0,7,0,0,0,2,0,B02
200500059543,0,7,0,0,2,1,15,A01
200500053281,1,5,0,0,1,0,0,A01
200500073178,0,7,0,0,2,3,1,B01
200500063739,0,7,0,0,2,2,2,A01
200500060803,0,7,0,0,2,1,2,C01
200500068630,0,7,0,0,1,2,1,A01
200500032907,0,7,0,0,2,3,1,B01
200500057056,0,2,0,0,2,8,9,A01
200500079864,0,5,0,0,0,7,1,A01
200500007162,0,7,0,0,2,2,2,A01
200500038196,0,7,0,13,0,1,13,A01
200500030099,0,1,0,0,0,2,1,A01
