Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200900031574,4,0.0,,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0
200900063857,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,40.0,170.0,1.0,0.0,1.0,0.0
200900000128,4,0.0,,,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
200900065675,1,350.0,,,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
200900034860,4,0.0,,,3.0,0.0,0.0,0.0,3.0,1.0,1.0,83.0,56.0,1.0,4.0,1.0,0.0
200900040345,3,84.0,2.0,A,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,99.0
200900040931,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,110.0,2.0,0.0,1.0,0.0
200900052477,4,1.0,,A,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,97.0,1.0,0.0,1.0,0.0
200900009591,3,5.0,,,2.0,0.0,2.0,800.0,0.0,1.0,1.0,0.0,75.0,1.0,0.0,1.0,0.0
200900017932,1,51.0,,,1.0,2.0,11.0,0.0,0.0,1.0,1.0,40.0,70.0,1.0,0.0,1.0,0.0
200900049953,1,64.0,,,1.0,1.0,285.0,779.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,99.0
200900031217,1,6.0,,,0.0,0.0,454.0,940.0,0.0,0.0,0.0,,,1.0,0.0,4.0,0.0
200900015398,3,27.0,,,2.0,2.0,23.0,245.0,0.0,1.0,1.0,0.0,51.0,2.0,5.0,1.0,0.0
200900069212,9,0.0,,,1.0,1.0,499.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,99.0
200900004985,3,53.0,,,2.0,2.0,19.0,362.0,0.0,2.0,2.0,0.0,63.0,1.0,5.0,1.0,99.0
200900034191,3,0.0,,,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,80.0,1.0,0.0,1.0,99.0
200900009250,4,0.0,,,1.0,1.0,,,0.0,2.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
200900071476,4,0.0,,,3.0,2.0,,,0.0,1.0,1.0,50.0,100.0,2.0,0.0,1.0,99.0
200900023674,4,,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
200900041570,4,1.0,,A,2.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,153.0,1.0,0.0,1.0,0.0
200900030036,4,0.0,,,2.0,2.0,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
200900028273,3,6.0,,A,2.0,2.0,1.0,700.0,0.0,0.0,2.0,0.0,70.0,1.0,0.0,0.0,0.0
200900058200,4,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,59.0,1.0,0.0,1.0,99.0
