Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201300038423,3,118.0,,,2.0,2.0,11.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201300015656,4,,,,2.0,2.0,,,0.0,2.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201300007457,1,7.0,,,3.0,6.0,47.0,500.0,0.0,1.0,1.0,25.0,105.0,1.0,0.0,1.0,0.0
201300028567,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201300009198,4,,,,2.0,2.0,,,0.0,2.0,2.0,,,1.0,0.0,1.0,99.0
201300001593,3,979.0,,,2.0,2.0,31.0,634.0,1.0,1.0,1.0,0.0,95.0,1.0,0.0,1.0,99.0
201300001793,3,132.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,0.0,0.0
201300030782,4,0.0,,,3.0,0.0,,,0.0,1.0,1.0,15.0,60.0,1.0,0.0,1.0,0.0
201300010825,4,0.0,,,2.0,3.0,,,0.0,1.0,1.0,0.0,100.0,1.0,0.0,1.0,0.0
201300049795,1,7.0,,,3.0,2.0,261.0,200.0,0.0,1.0,1.0,26.0,70.0,1.0,0.0,2.0,99.0
201300023686,4,0.0,,,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
201300051858,4,0.0,,,1.0,2.0,,,3.0,1.0,1.0,0.0,50.0,9.0,0.0,1.0,99.0
201300049292,1,6.0,,,3.0,2.0,452.0,650.0,0.0,1.0,1.0,0.0,70.0,1.0,2.0,1.0,99.0
201300039612,4,0.0,,,1.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201300027688,4,0.0,,,2.0,0.0,,,0.0,1.0,1.0,0.0,100.0,1.0,0.0,1.0,0.0
201300011608,1,1.0,,,1.0,3.0,165.0,900.0,0.0,1.0,1.0,40.0,105.0,1.0,0.0,1.0,0.0
201300020231,4,0.0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201300043168,4,0.0,,,2.0,1.0,,,0.0,1.0,1.0,0.0,75.0,1.0,0.0,1.0,99.0
201300042626,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,40.0,1.0,0.0,1.0,99.0
201300044544,4,0.0,,,2.0,2.0,,,0.0,1.0,2.0,0.0,50.0,1.0,0.0,1.0,0.0
201300012448,3,6185.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
201300052809,4,0.0,,,2.0,2.0,,,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201300052516,4,0.0,,,2.0,4.0,,,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201300047371,1,6.0,,a,3.0,4.0,8.0,414.0,0.0,1.0,1.0,10.0,100.0,2.0,0.0,1.0,99.0
201300015154,3,4.0,,C,1.0,2.0,,,0.0,1.0,1.0,0.0,40.0,1.0,0.0,2.0,0.0
201300045625,1,4.0,,,3.0,4.0,9.0,300.0,0.0,1.0,1.0,10.0,140.0,1.0,1.0,1.0,99.0
201300027545,3,920.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0
201300056889,2,1.0,,,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0
201300052977,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,150.0,1.0,5.0,1.0,0.0
201300028169,4,698.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,99.0
201300032458,4,,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201300009502,4,,,,0.0,0.0,,,0.0,1.0,1.0,0.0,50.0,0.0,0.0,1.0,99.0
201300055059,4,0.0,,,2.0,4.0,,,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,99.0
201300026460,4,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201300007965,3,7.0,,N,2.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,76.0,1.0,0.0,3.0,0.0
201300052483,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,40.0,1.0,0.0,1.0,0.0
201300058300,4,0.0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0
201300029960,4,0.0,,,3.0,2.0,,,0.0,1.0,1.0,30.0,33.0,1.0,0.0,1.0,0.0
201300004884,2,91.0,,,2.0,0.0,11.0,500.0,0.0,2.0,3.0,0.0,66.0,2.0,0.0,1.0,0.0
201300000613,3,79.0,,,2.0,0.0,14.0,70.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201300010128,4,0.0,,,2.0,2.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201300045825,1,86.0,,,3.0,4.0,14.0,300.0,0.0,2.0,3.0,20.0,140.0,2.0,3.0,1.0,0.0
201300057993,4,0.0,,,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,99.0
201300019892,4,0.0,,,2.0,2.0,,,0.0,2.0,2.0,0.0,70.0,2.0,0.0,1.0,99.0
201300042446,4,0.0,,,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,35.0,1.0,0.0,1.0,0.0
201300041097,4,0.0,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
