,lum,agg,int,col,moment,senc,catv,occutc,obs,obsm,manv,annee,nb_veh,choc_avant,choc_arriere,choc_lateral,choc_multiple,grav_order,secu,pieton,Conducteur,Autre,Arrière,Avant,pres_Homme,pres_Femme,age_grp_Enfant,age_grp_Adulte,age_grp_Jeune,age_grp_Senior,trajet_grp_Autre,trajet_grp_Inconnu,trajet_grp_Loisirs,trajet_grp_Professionnel,trajet_grp_Travail,catr,circ,nbv,prof,lartpc,larrout,infra,situ,mois,jour,jour_semaine,is_we,atm_enc,surf_enc
706630,1,1,1,6.0,3,0.0,7.0,0.0,13.0,0.0,1.0,2015,1.0,1.0,0.0,0.0,0.0,3,1,0,1,0,2,0,2,1,2,1,0,0,0,2,1,0,0,3.0,2.0,2.0,1.0,0.0,50.0,0.0,1.0,5,30,5,1,2,2
570874,1,2,1,6.0,2,0.0,36.0,0.0,1.0,0.0,0.0,2012,1.0,0.0,1.0,0.0,0.0,1,-1,0,1,0,0,1,2,0,0,0,2,0,0,2,0,0,0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,6,27,2,0,2,2
11273,3,1,1,6.0,3,0.0,7.0,0.0,2.0,0.0,1.0,2005,1.0,0.0,0.0,1.0,0.0,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.0,2.0,2.0,0.0,0.0,70.0,0.0,3.0,2,27,6,1,1,1
618310,1,2,2,3.0,1,0.0,2.0,0.0,0.0,2.0,17.0,2013,2.0,0.0,0.0,1.0,0.0,2,1,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,12,9,0,0,2,2
646485,1,1,1,6.0,3,0.0,7.0,0.0,2.0,0.0,1.0,2014,1.0,1.0,0.0,0.0,0.0,2,-1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,6,14,5,1,2,2
207221,5,2,1,7.0,4,0.0,30.0,0.0,0.0,0.0,1.0,2007,1.0,0.0,0.0,0.0,0.0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,7,29,6,1,2,2
343785,1,2,3,4.0,3,0.0,7.0,0.0,0.0,2.0,2.0,2009,3.0,1.0,1.0,0.0,0.0,1,1,0,3,0,0,1,1,2,0,4,0,0,0,0,3,0,1,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,4,6,0,0,2,2
101792,2,1,1,7.0,3,0.0,33.0,0.0,0.0,0.0,1.0,2006,1.0,0.0,0.0,1.0,0.0,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1.0,3.0,4.0,2.0,20.0,130.0,0.0,1.0,4,9,6,1,2,2
151994,1,2,3,3.0,2,0.0,7.0,0.0,0.0,0.0,1.0,2006,2.0,1.0,0.0,1.0,0.0,2,1,0,2,0,1,1,2,1,2,2,0,0,2,2,0,0,0,4.0,2.0,2.0,1.0,0.0,58.0,5.0,1.0,11,25,5,1,2,2
473925,3,1,1,2.0,3,0.0,7.0,0.0,0.0,2.0,1.0,2011,2.0,1.0,1.0,0.0,0.0,2,-1,0,2,0,0,1,2,1,0,1,2,0,0,1,2,0,0,3.0,2.0,2.0,1.0,0.0,65.0,0.0,1.0,7,26,1,0,2,2
463794,1,1,3,3.0,2,0.0,7.0,0.0,0.0,2.0,1.0,2011,2.0,1.0,0.0,1.0,0.0,1,1,0,2,0,0,0,1,1,0,1,1,0,0,0,1,0,1,3.0,2.0,2.0,1.0,0.0,53.0,0.0,1.0,10,25,1,0,2,2
558577,5,2,1,6.0,2,0.0,7.0,0.0,0.0,1.0,1.0,2012,1.0,1.0,0.0,0.0,0.0,2,-1,1,1,1,0,0,2,0,0,1,0,1,0,0,2,0,0,4.0,2.0,2.0,1.0,0.0,70.0,0.0,1.0,11,25,6,1,2,2
141785,5,2,1,6.0,1,0.0,7.0,0.0,14.0,0.0,1.0,2006,1.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1,1,0,2,0,1,2,0,0,2,1,0,0,2.0,3.0,3.0,3.0,170.0,150.0,1.0,1.0,9,24,6,1,2,2
218889,1,2,1,6.0,2,0.0,7.0,0.0,2.0,0.0,0.0,2007,1.0,0.0,1.0,0.0,0.0,2,-1,0,1,0,2,1,2,0,0,1,3,0,0,3,0,0,1,3.0,2.0,2.0,1.0,0.0,60.0,0.0,3.0,9,29,5,1,2,2
788302,1,2,3,1.0,2,2.0,7.0,0.0,0.0,2.0,15.0,2016,2.0,1.0,0.0,0.0,0.0,2,1,0,2,0,0,1,2,0,0,2,1,0,0,0,3,0,0,3.0,2.0,2.0,1.0,0.0,68.0,0.0,1.0,7,25,0,0,2,2
188625,1,2,1,3.0,2,0.0,7.0,0.0,0.0,2.0,15.0,2007,2.0,1.0,0.0,0.0,0.0,2,1,0,2,0,0,0,2,0,0,1,1,0,2,0,0,0,0,2.0,2.0,4.0,1.0,0.0,130.0,0.0,1.0,4,29,6,1,2,2
231703,1,2,1,6.0,1,0.0,7.0,0.0,12.0,1.0,4.0,2007,1.0,0.0,1.0,0.0,0.0,1,-1,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,2,4.0,1.0,1.0,1.0,0.0,25.0,0.0,1.0,10,3,2,0,2,2
676877,5,1,6,1.0,3,0.0,2.0,0.0,0.0,2.0,5.0,2014,2.0,1.0,0.0,0.0,0.0,2,1,0,2,0,0,0,2,0,0,1,1,0,1,0,1,0,0,4.0,2.0,2.0,1.0,0.0,60.0,0.0,0.0,8,4,0,0,2,2
165187,1,2,1,1.0,2,0.0,2.0,0.0,0.0,2.0,1.0,2007,2.0,1.0,0.0,0.0,0.0,2,1,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,1,4.0,2.0,2.0,1.0,0.0,60.0,0.0,1.0,1,26,4,0,1,1
676234,1,2,1,1.0,2,0.0,7.0,0.0,0.0,9.0,24.0,2014,2.0,1.0,0.0,1.0,0.0,2,-1,0,2,0,0,0,2,0,0,1,0,1,1,0,1,0,0,4.0,1.0,1.0,2.0,0.0,35.0,0.0,1.0,2,6,3,0,2,2
772587,1,2,1,7.0,2,1.0,7.0,0.0,0.0,1.0,2.0,2016,1.0,1.0,0.0,0.0,0.0,1,-1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,4.0,1.0,0.0,1.0,0.0,35.0,0.0,1.0,9,2,4,0,2,2
775864,1,1,3,3.0,2,0.0,3.0,0.0,0.0,2.0,17.0,2016,2.0,1.0,0.0,1.0,0.0,2,1,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,1,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,9,2,4,0,2,2
734570,1,2,1,6.0,3,1.0,34.0,0.0,0.0,1.0,1.0,2015,1.0,1.0,0.0,0.0,0.0,2,-1,1,1,1,0,0,2,0,1,0,1,0,0,1,1,0,0,4.0,2.0,2.0,1.0,34.0,67.0,0.0,1.0,9,4,4,0,2,2
487184,1,1,1,6.0,2,0.0,7.0,0.0,4.0,0.0,1.0,2011,1.0,1.0,0.0,0.0,0.0,2,-1,0,1,0,1,1,0,2,1,0,2,0,0,3,0,0,0,1.0,1.0,2.0,1.0,0.0,880.0,0.0,1.0,12,25,6,1,2,2
64365,3,1,1,6.0,3,0.0,7.0,0.0,13.0,0.0,1.0,2005,1.0,0.0,0.0,0.0,1.0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2.0,3.0,0.0,1.0,130.0,140.0,0.0,1.0,10,13,3,0,2,2
226630,1,2,1,3.0,2,0.0,32.0,0.0,0.0,2.0,18.0,2007,2.0,1.0,0.0,0.0,0.0,1,1,0,2,0,0,0,2,0,0,2,0,0,0,0,1,1,0,3.0,2.0,2.0,1.0,0.0,60.0,0.0,1.0,10,11,3,0,2,2
716705,1,1,1,4.0,3,0.0,7.0,0.0,0.0,2.0,2.0,2015,3.0,0.0,1.0,0.0,0.0,1,-1,0,3,0,1,3,2,2,2,3,2,0,0,7,0,0,0,3.0,3.0,2.0,1.0,30.0,35.0,0.0,1.0,8,2,6,1,2,2
697099,5,2,3,6.0,3,0.0,10.0,0.0,0.0,1.0,1.0,2014,1.0,1.0,0.0,0.0,0.0,1,-1,1,1,1,0,0,1,1,0,1,1,0,0,0,2,0,0,4.0,2.0,2.0,1.0,70.0,70.0,0.0,1.0,12,5,4,0,2,2
11343,1,2,1,1.0,2,0.0,17.0,0.0,0.0,2.0,1.0,2005,2.0,1.0,0.0,1.0,0.0,2,1,0,2,0,0,1,2,1,0,1,2,0,0,1,1,1,0,3.0,2.0,2.0,1.0,0.0,68.0,0.0,1.0,2,14,0,0,2,2
324704,5,1,6,6.0,3,1.0,7.0,0.0,0.0,2.0,17.0,2009,2.0,1.0,0.0,0.0,0.0,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4.0,1.0,2.0,0.0,0.0,60.0,0.0,0.0,1,9,4,0,2,2
253275,1,1,1,2.0,2,0.0,31.0,0.0,0.0,2.0,2.0,2008,2.0,1.0,1.0,0.0,0.0,2,1,0,2,0,0,0,2,0,0,1,1,0,0,0,2,0,0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2,16,5,1,2,2
146580,3,2,1,7.0,3,0.0,7.0,0.0,0.0,1.0,1.0,2006,1.0,0.0,0.0,1.0,0.0,1,-1,1,1,1,0,0,2,0,0,1,0,1,0,1,1,0,0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,10,16,0,0,2,2
517118,1,1,1,6.0,1,0.0,7.0,0.0,8.0,0.0,2.0,2011,1.0,0.0,0.0,1.0,0.0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4.0,1.0,1.0,2.0,20.0,35.0,3.0,3.0,7,17,6,1,1,2
894405,1,1,1,3.0,1,1.0,33.0,0.0,0.0,2.0,5.0,2018,2.0,1.0,1.0,0.0,0.0,3,-1,0,2,0,0,0,2,0,0,2,0,0,0,0,0,1,1,3.0,2.0,2.0,1.0,-1.0,-1.0,0.0,1.0,8,23,3,0,2,2
