,grav,secu,pieton,Arrière,Autre,Avant,Conducteur,pres_Homme,pres_Femme,age_grp_Adulte,age_grp_Enfant,age_grp_Jeune,age_grp_Senior,trajet_grp_Autre,trajet_grp_Inconnu,trajet_grp_Loisirs,trajet_grp_Professionnel,trajet_grp_Travail,grav_order,lum,agg,int,col,moment,senc,catv,occutc,obs,obsm,manv,annee,nb_veh,choc_avant,choc_arriere,choc_lateral,choc_multiple,catr,circ,nbv,prof,lartpc,larrout,infra,situ,mois,jour,jour_semaine,is_we,atm_enc,surf_enc
912584,2,2,0,0,0,0,1,2,0,False,False,True,False,False,False,True,False,False,3,3.0,1.0,1.0,6.0,4,0.0,33.0,0.0,2.0,0.0,13.0,2010,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,63.0,0.0,3.0,5,18,1,0,2,2
1677300,1,1,0,0,0,0,1,2,1,True,False,False,False,False,True,False,False,False,0,1.0,2.0,3.0,2.0,2,0.0,7.0,0.0,0.0,2.0,1.0,2015,2.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,10,28,2,0,2,2
1840122,1,1,0,0,0,0,1,1,1,True,False,False,False,False,False,False,False,True,0,1.0,2.0,6.0,2.0,2,1.0,7.0,0.0,0.0,2.0,2.0,2017,2.0,1.0,1.0,0.0,0.0,3.0,2.0,6.0,1.0,0.0,200.0,0.0,0.0,6,22,3,0,2,2
1922985,1,1,0,0,0,0,1,0,2,False,False,False,True,False,True,False,False,False,0,1.0,1.0,1.0,3.0,2,2.0,7.0,0.0,0.0,2.0,0.0,2017,2.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,70.0,3.0,1.0,4,30,6,1,2,2
1906484,1,1,0,0,0,0,1,2,1,True,False,False,False,True,False,False,False,False,0,1.0,2.0,1.0,3.0,3,1.0,34.0,0.0,0.0,2.0,17.0,2017,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6,20,1,0,2,2
893356,3,2,0,0,0,0,1,2,0,False,False,True,False,False,False,True,False,False,2,5.0,2.0,2.0,3.0,3,0.0,2.0,0.0,0.0,2.0,1.0,2010,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,70.0,0.0,3.0,11,21,6,1,2,2
658050,3,2,0,0,0,0,1,2,2,False,False,True,False,False,False,True,False,False,2,1.0,1.0,1.0,5.0,3,0.0,7.0,0.0,0.0,2.0,13.0,2008,3.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,8,31,6,1,2,2
809754,4,1,0,0,0,1,0,2,1,False,False,False,True,False,False,True,False,False,1,1.0,1.0,1.0,4.0,2,0.0,33.0,0.0,14.0,0.0,9.0,2009,3.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,25.0,70.0,0.0,1.0,4,29,2,0,2,2
62954,3,2,0,0,0,0,1,2,0,True,False,False,False,False,True,False,False,False,2,1.0,2.0,1.0,3.0,2,0.0,5.0,0.0,0.0,2.0,2.0,2005,2.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,120.0,0.0,1.0,5,28,5,1,1,2
909760,1,1,0,0,0,0,1,2,0,True,False,False,False,True,False,False,False,False,0,1.0,1.0,1.0,7.0,1,0.0,7.0,0.0,8.0,0.0,1.0,2010,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,65.0,0.0,1.0,5,9,6,1,2,2
960114,4,1,0,0,0,0,1,2,1,False,False,True,False,False,False,True,False,False,1,5.0,1.0,1.0,2.0,4,0.0,7.0,0.0,0.0,2.0,1.0,2010,2.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,2.0,30.0,210.0,0.0,1.0,10,24,6,1,0,2
316879,4,-1,1,0,1,0,0,1,1,False,True,False,False,False,False,True,False,False,1,1.0,2.0,1.0,6.0,3,0.0,7.0,0.0,0.0,1.0,1.0,2006,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9,20,2,0,2,2
1482489,4,-1,1,0,1,0,0,1,1,True,False,False,False,False,False,False,False,True,1,1.0,2.0,1.0,6.0,2,0.0,7.0,0.0,0.0,1.0,1.0,2014,1.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,3,11,1,0,2,2
1834624,1,1,0,0,0,1,0,2,2,True,False,False,False,False,False,True,False,False,0,3.0,1.0,1.0,2.0,3,2.0,7.0,0.0,4.0,0.0,1.0,2017,2.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,20.0,70.0,0.0,1.0,8,13,6,1,2,2
1213177,3,2,0,0,0,0,1,1,1,True,False,False,False,False,True,False,False,False,2,1.0,1.0,1.0,7.0,2,0.0,33.0,0.0,0.0,0.0,1.0,2012,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1,26,3,0,2,2
1775190,4,1,0,0,0,0,1,1,1,True,False,False,False,False,False,False,True,False,1,1.0,2.0,2.0,3.0,2,0.0,10.0,0.0,0.0,2.0,1.0,2016,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6,15,2,0,2,2
2052844,1,1,0,0,0,0,1,1,1,True,False,False,False,False,True,False,False,False,0,1.0,1.0,1.0,3.0,1,1.0,31.0,0.0,0.0,2.0,3.0,2018,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,-1.0,-1.0,0.0,3.0,3,19,0,0,2,2
24406,1,-1,1,0,1,0,0,1,2,False,False,False,True,False,True,False,False,False,0,1.0,1.0,1.0,6.0,2,0.0,7.0,0.0,0.0,1.0,2.0,2005,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,60.0,0.0,3.0,2,13,6,1,2,2
859202,1,-1,0,0,0,0,1,0,2,True,False,False,False,False,True,False,False,False,0,1.0,2.0,2.0,6.0,3,0.0,7.0,0.0,0.0,0.0,9.0,2009,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7,18,5,1,2,2
1188015,3,1,0,0,0,0,1,0,2,True,False,False,False,False,False,False,False,True,2,1.0,1.0,1.0,1.0,3,0.0,7.0,0.0,0.0,2.0,13.0,2012,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,74.0,0.0,1.0,4,11,2,0,2,2
573730,4,-1,0,1,0,0,0,2,1,False,True,False,False,False,True,False,False,False,1,1.0,2.0,1.0,2.0,1,0.0,10.0,0.0,0.0,2.0,1.0,2008,2.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2,13,2,0,2,2
1854120,1,1,0,0,0,1,0,2,1,False,False,True,False,False,False,False,False,True,0,1.0,1.0,1.0,1.0,2,2.0,33.0,0.0,2.0,2.0,13.0,2017,2.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,58.0,0.0,1.0,7,6,3,0,2,2
2035654,1,1,0,1,0,0,0,0,2,False,False,True,False,False,False,True,False,False,0,5.0,2.0,3.0,6.0,3,2.0,7.0,0.0,6.0,0.0,15.0,2018,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,-1.0,-1.0,3.0,1.0,12,9,6,1,2,2
1717715,1,1,0,0,0,0,1,2,2,True,False,False,False,False,False,True,False,False,0,1.0,1.0,1.0,4.0,1,2.0,7.0,0.0,0.0,2.0,2.0,2016,5.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,10.0,200.0,0.0,1.0,8,13,5,1,2,2
1785758,1,1,0,0,0,1,0,2,0,False,False,True,False,False,False,False,False,True,0,5.0,2.0,2.0,3.0,3,0.0,33.0,0.0,0.0,2.0,0.0,2016,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,120.0,0.0,1.0,12,21,2,0,2,2
1849407,1,-1,0,0,0,0,1,1,1,True,False,False,False,False,False,False,True,False,0,1.0,1.0,1.0,3.0,2,2.0,10.0,0.0,0.0,2.0,0.0,2017,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,73.0,0.0,0.0,2,15,2,0,2,2
430698,1,1,0,0,0,1,0,2,0,True,False,False,False,False,True,False,False,False,0,1.0,1.0,1.0,5.0,3,0.0,33.0,0.0,0.0,2.0,1.0,2007,3.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,31.0,0.0,1.0,5,20,6,1,2,2
1484694,3,-1,0,0,0,0,1,1,1,True,False,False,False,False,True,False,False,False,2,3.0,1.0,1.0,1.0,4,0.0,7.0,0.0,0.0,2.0,5.0,2014,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,97.0,0.0,1.0,10,31,4,0,2,0
944858,1,1,0,0,0,0,1,2,0,False,False,False,True,False,False,True,False,False,0,1.0,2.0,2.0,3.0,2,0.0,7.0,0.0,0.0,2.0,15.0,2010,2.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,122.0,0.0,1.0,4,1,3,0,2,2
1174855,2,2,0,0,0,0,1,2,1,False,False,True,False,False,False,True,False,False,3,1.0,1.0,1.0,2.0,3,0.0,33.0,0.0,0.0,2.0,2.0,2012,2.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,66.0,0.0,1.0,4,1,6,1,2,2
1042832,2,1,0,0,0,0,1,2,0,False,False,True,False,False,False,True,False,False,3,1.0,2.0,1.0,6.0,3,0.0,7.0,0.0,2.0,0.0,13.0,2011,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,60.0,0.0,1.0,8,28,6,1,2,2
1812617,1,1,0,0,0,0,1,2,0,True,False,False,False,False,False,False,True,False,0,5.0,2.0,1.0,3.0,3,1.0,31.0,0.0,0.0,2.0,17.0,2016,2.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,12,11,6,1,2,2
1293760,1,1,0,0,0,0,1,1,1,True,False,False,False,False,False,False,False,True,0,1.0,2.0,2.0,3.0,2,0.0,32.0,0.0,0.0,2.0,1.0,2012,2.0,1.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,78.0,0.0,1.0,10,10,2,0,1,2
1814694,1,1,0,0,0,0,1,2,0,True,False,False,False,False,False,False,False,True,0,1.0,2.0,1.0,3.0,1,1.0,32.0,0.0,0.0,2.0,17.0,2016,2.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,100.0,0.0,1.0,10,18,1,0,2,2
1767750,1,1,0,0,0,0,1,2,0,True,False,False,False,False,False,True,False,False,0,1.0,1.0,1.0,2.0,2,0.0,33.0,0.0,6.0,2.0,2.0,2016,2.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2,20,5,1,2,2
1179182,3,-1,1,0,1,0,0,0,2,False,False,False,True,False,False,True,False,False,2,1.0,1.0,1.0,6.0,3,0.0,7.0,0.0,0.0,1.0,1.0,2012,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,54.0,0.0,1.0,8,30,3,0,2,2
1131133,4,1,0,0,0,1,0,2,2,True,False,False,False,False,False,True,False,False,1,5.0,2.0,3.0,3.0,3,0.0,7.0,0.0,1.0,2.0,2.0,2011,2.0,1.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4,23,5,1,2,2
1380726,4,1,0,1,0,0,0,1,2,False,False,False,True,False,False,True,False,False,1,5.0,2.0,1.0,1.0,3,0.0,7.0,0.0,0.0,2.0,1.0,2013,2.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,65.0,0.0,1.0,1,26,5,1,2,2
1227153,4,1,0,0,0,0,1,2,0,True,False,False,False,False,False,True,False,False,1,1.0,1.0,1.0,1.0,2,0.0,7.0,0.0,0.0,2.0,0.0,2012,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,24.0,83.0,0.0,1.0,5,20,6,1,2,2
379844,1,1,0,0,0,0,1,0,2,True,False,False,False,False,False,True,False,False,0,5.0,2.0,1.0,6.0,1,0.0,7.0,0.0,0.0,1.0,1.0,2007,1.0,0.0,0.0,1.0,0.0,9.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1,10,2,0,1,2
494322,3,1,0,0,0,0,1,2,1,True,False,False,False,False,False,True,False,False,2,2.0,1.0,1.0,1.0,3,0.0,10.0,0.0,0.0,2.0,13.0,2007,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,65.0,0.0,1.0,9,23,6,1,2,2
253081,4,-1,0,0,0,0,1,1,1,True,False,False,False,True,False,False,False,False,1,1.0,2.0,1.0,6.0,1,0.0,7.0,0.0,0.0,2.0,1.0,2006,2.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,5,31,2,0,2,2
1474687,1,1,0,0,0,0,1,2,1,False,False,True,False,False,False,True,False,False,0,1.0,1.0,1.0,4.0,2,0.0,7.0,0.0,0.0,0.0,2.0,2014,3.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,80.0,0.0,1.0,4,30,2,0,2,2
1308818,4,2,0,0,0,0,1,2,1,True,False,False,False,False,False,False,False,True,1,1.0,2.0,1.0,4.0,1,0.0,7.0,0.0,0.0,0.0,1.0,2012,3.0,1.0,1.0,0.0,0.0,4.0,1.0,4.0,1.0,15.0,140.0,0.0,1.0,11,20,1,0,2,2
1408121,4,2,0,0,0,0,1,2,0,False,False,True,False,False,False,True,False,False,1,5.0,2.0,2.0,3.0,3,0.0,34.0,0.0,0.0,2.0,1.0,2013,2.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,-1.0,-1.0,0.0,1.0,2,26,1,0,2,2
420978,4,1,0,0,0,1,0,1,2,False,False,True,False,False,True,False,False,False,1,1.0,2.0,2.0,6.0,3,0.0,7.0,0.0,0.0,2.0,1.0,2007,2.0,1.0,0.0,1.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,5.0,1.0,4,30,0,0,2,2
1758336,4,-1,1,0,1,0,0,2,0,False,True,False,False,False,False,True,False,False,1,5.0,2.0,3.0,6.0,3,1.0,7.0,0.0,0.0,1.0,1.0,2016,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,80.0,5.0,1.0,1,6,2,0,2,2
111851,1,1,0,0,0,1,0,2,2,False,False,False,True,False,True,False,False,False,0,1.0,1.0,1.0,3.0,2,0.0,7.0,0.0,0.0,2.0,19.0,2005,2.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,60.0,5.0,1.0,8,18,3,0,2,2
1550047,1,2,0,0,0,0,1,1,2,True,False,False,False,False,True,False,False,False,0,5.0,2.0,2.0,3.0,2,0.0,34.0,0.0,0.0,2.0,18.0,2014,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,11,27,3,0,2,2
1371439,1,1,0,0,0,0,1,0,2,False,False,False,True,False,False,True,False,False,0,1.0,2.0,6.0,3.0,3,0.0,7.0,0.0,0.0,2.0,10.0,2013,2.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,4,18,3,0,2,2
1747024,3,3,0,1,0,0,0,2,1,False,True,False,False,False,False,True,False,False,2,5.0,2.0,1.0,1.0,3,0.0,7.0,0.0,0.0,2.0,10.0,2016,2.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,0.0,98.0,0.0,1.0,5,11,2,0,2,2
1243461,1,1,0,0,0,1,0,1,2,False,False,True,False,True,False,False,False,False,0,1.0,1.0,1.0,6.0,2,0.0,7.0,0.0,0.0,1.0,1.0,2012,1.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,126.0,80.0,0.0,1.0,12,7,4,0,1,2
354304,1,1,0,0,0,0,1,2,0,False,False,True,False,False,False,True,False,False,0,3.0,2.0,1.0,3.0,3,0.0,7.0,0.0,0.0,2.0,15.0,2006,2.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,11,12,6,1,2,2
781287,1,1,0,0,0,0,1,1,1,True,False,False,False,False,False,True,False,False,0,1.0,2.0,1.0,6.0,1,0.0,7.0,0.0,0.0,1.0,4.0,2009,1.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,40.0,0.0,1.0,4,11,5,1,2,2
1745451,1,1,0,0,0,0,1,2,2,False,False,True,False,False,False,False,True,False,0,1.0,2.0,5.0,4.0,1,2.0,7.0,0.0,0.0,2.0,23.0,2016,5.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,3,31,3,0,2,2
1851552,4,1,0,0,0,1,0,2,1,False,False,False,True,False,False,True,False,False,1,1.0,1.0,1.0,1.0,1,1.0,7.0,0.0,0.0,2.0,15.0,2017,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,12,6,2,0,2,2
1902521,1,1,0,0,0,0,1,2,0,True,False,False,False,False,False,True,False,False,0,1.0,2.0,1.0,6.0,2,2.0,7.0,0.0,13.0,0.0,1.0,2017,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,60.0,0.0,1.0,3,8,2,0,2,2
1079360,4,2,0,0,0,0,1,1,0,True,False,False,False,False,True,False,False,False,1,3.0,1.0,1.0,7.0,1,0.0,30.0,0.0,0.0,0.0,0.0,2011,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,8,5,4,0,2,2
183418,4,-1,0,0,0,1,0,1,2,False,False,True,False,False,True,False,False,False,1,5.0,2.0,1.0,3.0,3,0.0,7.0,0.0,0.0,2.0,10.0,2005,2.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,265.0,119.0,0.0,1.0,12,27,1,0,2,2
1714797,1,0,0,1,0,0,0,2,2,False,True,False,False,True,False,False,False,False,0,2.0,1.0,1.0,7.0,1,2.0,38.0,32.0,16.0,0.0,14.0,2016,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2,10,2,0,1,1
568282,4,2,0,0,0,0,1,1,0,False,False,True,False,False,False,True,False,False,1,5.0,2.0,9.0,6.0,3,0.0,2.0,0.0,0.0,2.0,23.0,2008,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2,15,4,0,2,0
599337,3,-1,1,0,1,0,0,0,2,False,False,False,True,True,False,False,False,False,2,1.0,2.0,1.0,6.0,2,0.0,7.0,0.0,0.0,1.0,15.0,2008,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4,19,5,1,2,2
975381,4,1,0,0,0,0,1,0,1,True,False,False,False,False,False,False,False,True,1,1.0,2.0,1.0,6.0,1,0.0,7.0,0.0,3.0,0.0,14.0,2010,1.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,100.0,2.0,1.0,12,17,4,0,1,1
1997571,1,1,0,0,0,0,1,2,2,True,False,False,False,False,False,False,False,True,0,3.0,1.0,1.0,6.0,1,1.0,7.0,0.0,14.0,0.0,2.0,2018,10.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,-1.0,-1.0,0.0,1.0,9,11,1,0,1,2
1988736,4,1,0,0,0,0,1,2,2,True,False,False,False,False,True,False,False,False,1,1.0,2.0,1.0,1.0,1,1.0,7.0,0.0,0.0,2.0,13.0,2018,2.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,-1.0,-1.0,0.0,1.0,5,25,4,0,2,2
236113,1,1,0,0,0,0,1,2,1,False,False,False,True,False,False,True,False,False,0,1.0,1.0,1.0,4.0,2,0.0,7.0,0.0,0.0,2.0,1.0,2006,4.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,102.0,0.0,1.0,4,2,6,1,2,2
80134,1,1,0,0,0,0,1,0,2,True,False,False,False,False,False,True,False,False,0,1.0,2.0,1.0,6.0,2,0.0,7.0,0.0,0.0,1.0,4.0,2005,1.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,60.0,0.0,1.0,6,21,1,0,2,2
1221097,1,1,0,0,0,1,0,2,0,False,False,True,False,False,True,False,False,False,0,2.0,1.0,1.0,7.0,1,0.0,7.0,0.0,13.0,0.0,21.0,2012,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,67.0,0.0,0.0,1.0,4,29,6,1,1,2
1688085,1,1,0,0,0,0,1,2,1,True,False,False,False,False,False,True,False,False,0,5.0,2.0,1.0,4.0,1,0.0,33.0,0.0,0.0,2.0,3.0,2015,3.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,70.0,3.0,1.0,11,19,3,0,2,2
779018,1,1,0,0,0,0,1,1,1,False,False,True,False,False,False,True,False,False,0,1.0,2.0,1.0,6.0,1,0.0,7.0,0.0,0.0,1.0,1.0,2009,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4,4,5,1,2,2
