Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
201400034289,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,68.0,2.0,0.0,1.0,99.0
201400040918,4,0.0,,,1.0,1.0,,,0.0,1.0,2.0,0.0,52.0,1.0,0.0,1.0,0.0
201400029598,4,0.0,,,2.0,3.0,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
201400003525,4,0.0,,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,60.0,0.0,1.0,0.0,0.0,0.0
201400050132,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,47.0,1.0,0.0,1.0,3.0
201400000274,3,157.0,,,2.0,0.0,21.0,500.0,0.0,1.0,1.0,0.0,61.0,1.0,0.0,3.0,99.0
201400027172,4,0.0,,,2.0,2.0,,,1.0,1.0,1.0,0.0,50.0,1.0,0.0,1.0,0.0
201400059619,2,2.0,,,2.0,2.0,109.0,0.0,0.0,1.0,1.0,0.0,70.0,1.0,3.0,1.0,99.0
201400046713,1,4.0,,,3.0,4.0,1.0,415.0,0.0,1.0,1.0,15.0,140.0,1.0,0.0,1.0,99.0
201400024707,4,0.0,,,3.0,4.0,,,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201400057186,4,0.0,,,2.0,2.0,,,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
201400026101,4,,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
201400045867,4,,,,3.0,4.0,,,0.0,1.0,1.0,,,1.0,0.0,1.0,99.0
201400049197,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,58.0,1.0,0.0,1.0,99.0
201400008820,3,125.0,,,2.0,2.0,10.0,0.0,0.0,1.0,1.0,60.0,0.0,1.0,5.0,1.0,0.0
201400022965,3,6.0,,,2.0,2.0,7.0,200.0,0.0,1.0,2.0,47.0,50.0,0.0,0.0,3.0,99.0
201400057674,4,0.0,,,1.0,2.0,34.0,0.0,0.0,2.0,1.0,0.0,70.0,1.0,3.0,0.0,99.0
201400012215,4,,,,2.0,2.0,,,0.0,1.0,1.0,0.0,120.0,1.0,0.0,1.0,99.0
201400032302,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,80.0,1.0,0.0,1.0,99.0
201400036795,3,63.0,,,0.0,2.0,4.0,500.0,0.0,1.0,1.0,0.0,100.0,1.0,0.0,1.0,3.0
201400003956,3,656.0,,,2.0,2.0,4.0,275.0,0.0,1.0,1.0,0.0,57.0,1.0,0.0,1.0,99.0
201400002781,3,43.0,,,2.0,2.0,12.0,250.0,0.0,1.0,1.0,0.0,70.0,1.0,0.0,1.0,0.0
201400024636,4,0.0,,,3.0,4.0,,,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
201400043071,4,0.0,,,2.0,2.0,,,0.0,2.0,1.0,0.0,50.0,1.0,0.0,1.0,99.0
201400029274,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201400050593,1,43.0,,,3.0,4.0,13.0,100.0,0.0,1.0,1.0,10.0,165.0,1.0,0.0,1.0,99.0
201400013884,4,0.0,,,2.0,0.0,,,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
201400009622,9,0.0,,,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,55.0,2.0,0.0,1.0,0.0
201400049114,2,193.0,,,3.0,4.0,147.0,0.0,0.0,1.0,1.0,10.0,140.0,1.0,0.0,1.0,99.0
201400011600,3,952.0,,,2.0,1.0,19.0,218.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,99.0
201400025171,3,66.0,,,1.0,2.0,2.0,270.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0
201400045528,3,155.0,,,2.0,4.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
201400029919,9,0.0,,,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
201400023153,4,0.0,,,2.0,0.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0
201400056385,4,0.0,,,0.0,3.0,,,0.0,0.0,0.0,10.0,120.0,2.0,0.0,0.0,0.0
201400005712,2,122.0,,,2.0,2.0,134.0,800.0,0.0,1.0,1.0,0.0,77.0,1.0,0.0,1.0,0.0
201400016378,3,90.0,,,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,86.0,1.0,0.0,1.0,99.0
201400003708,3,117.0,,,2.0,2.0,3.0,565.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,99.0
