Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
200800042547,8,7,12,1650,1,2,1,1,4,119,AVENUE JEAN JAURES,,,,750
200800060118,8,10,13,1915,5,2,1,1,6,9,"19, CHARLES-DE-GAULLE (",,,,920
200800050192,8,9,6,1815,1,2,3,1,3,848,"1, VIRIQUE (Jules)",,,,620
200800038071,8,7,12,1300,1,1,1,1,3,95,,M,0.0,0.0,340
200800054389,8,9,27,1505,1,2,1,1,3,78,PARIS (rue de ),,,,940
200800064784,8,11,19,1025,1,2,1,1,6,29,MAURICE NILES (PLACE),,,,930
200800002010,8,1,1,430,5,1,1,1,6,88,"6, RAY (AV. DU)",,,,60
200800048845,8,9,27,1645,1,1,1,1,1,109,,M,4809300.0,-123800.0,350
200800068293,8,11,19,945,1,2,1,1,3,113,"42, AVENUE DE LA PORTE D",,,,750
200800045867,8,8,26,920,1,2,1,1,6,55,"359, LYON (RUE DE)",,,,130
200800058297,8,10,28,1740,1,2,1,1,3,135,"94, OCÉAN ( AVENUE DE L'",,,,440
200800012869,8,3,3,1605,1,2,1,1,6,122,GUERRY (RUE MONSEIGNEUR),,,,590
200800059485,8,10,21,1045,1,2,3,2,3,540,"1, MONT RIBOUDET. AVENUE",,,,760
200800037818,8,7,11,1900,1,1,1,3,3,119,,M,4550100.0,472200.0,690
200800009999,8,2,23,1400,1,2,5,1,3,48,"42, PASTEUR S2  (AVENUE)",,,,930
200800050611,8,9,16,1335,1,2,4,1,6,218,"48, THIERS (BOULEVARD)",,,,420
200800070263,8,12,13,1330,1,2,1,2,3,29,"00, POESIE (AVENUE PIERR",,,,60
200800008106,8,2,13,1945,5,2,1,1,3,11,DEUXIEME D.B AVENUE DE L,,,,300
200800033868,8,6,18,2350,5,1,1,1,1,137,CD D559 BIS,,,,830
200800075511,8,5,4,1700,1,1,1,1,1,217,,A,0.0,0.0,972
200800071593,8,12,8,1610,1,2,2,1,3,230,"., CERVEAUX (RUE MAURICE",,,,510
200800039654,8,7,30,1640,1,2,1,1,3,234,"270, FAUBOURG BANNIER (R",,,,450
200800030047,8,6,18,900,1,1,1,1,4,132,,M,0.0,0.0,320
200800049566,8,9,28,1845,2,2,1,1,1,232,CD5,M,4891700.0,281400.0,770
200800023767,8,5,28,1450,1,2,1,1,6,31,"48, SEMARD (AVENUE PIERR",M,4515633.0,451959.0,190
200800052944,8,9,16,1340,1,2,1,1,2,55,"5, ARNAVON (AVENUE)",,,,130
200800037054,8,7,28,1530,1,1,1,1,1,534,,M,0.0,0.0,570
200800003130,8,1,16,1945,5,2,2,2,3,261,GRANDIERE (RUE DE LA),,,,370
200800008732,8,2,9,1745,1,2,1,1,6,547,"1, AMSTERDAM  (RUE D')",,,,540
200800066319,8,11,2,1505,1,2,2,8,6,540,"1, DUNANT. RUE HENRI",,,,760
200800030099,8,6,27,2315,3,1,1,1,3,285,,M,4528000.0,510000.0,690
200800009554,8,2,27,1010,1,2,1,1,6,137,"5, PONT DE BOIS (CHEMIN",,,,830
200800009684,8,2,12,820,1,2,2,1,6,174,"21, CHEVALIER (RUE)",,,,910
200800013313,8,3,14,1555,1,2,1,1,6,266,"166, COURS TOLSTOI",,,,690
200800032869,8,6,5,1654,1,2,2,2,3,395,"17, LECLERC (AV. DU GENE",,,,540
200800005119,8,1,19,1925,1,2,1,1,6,219,GRAND GRIL (RUE DU),,,,950
200800076418,8,5,3,215,4,1,1,1,6,213,ROUTE NATIONALE 1,,,,972
200800058847,8,10,7,1820,5,2,1,2,3,646,MARCEAU (RUE),,,,590
200800009995,8,2,17,1601,1,2,2,1,3,48,"1, JEANNE D'ARC (BOULEVA",,,,930
