Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
200600026423,6,5,2,1440,1,1,1,1,7,63,CRS JULES LADOUMEGUE,,,,330
200600003223,6,1,15,1510,1,1,1,1,7,65,AUTOROUTE A20,,,,870
200600041732,6,7,7,1810,1,2,1,1,3,4,"SANS, MARECHAL JUIN AVEN",,,,201
200600048370,6,8,1,1148,1,2,1,1,2,99,"43, DELHUMEAU PLESSIS (B",,,,490
200600053772,6,9,21,1715,1,2,1,1,2,300,"02, MOULIN   PONT JEAN",,,,170
200600010601,6,2,22,700,2,2,1,1,2,18,RN 311,,,,950
200600003212,6,1,6,1755,5,1,2,1,3,75,RN 21,,,,870
200600023842,6,5,9,2345,3,1,1,1,6,155,,M,4571700.0,-110900.0,170
200600017248,6,4,7,1310,1,2,2,1,3,70,avenue président KENNEDY,M,0.0,0.0,220
200600037695,6,7,25,1443,1,2,1,1,4,29,"24, TUBY (AVENUE FRANCOI",,,,60
200600050903,6,9,20,1715,1,1,1,1,6,3,,M,4916100.0,118200.0,270
200600006791,6,2,12,1545,1,2,1,1,1,523,12 RUE Michel ADAM,M,0.0,0.0,670
200600074942,6,12,17,1845,3,1,1,9,6,493,,M,0.0,0.0,510
200600077682,6,12,15,1230,1,2,1,1,6,181,"40, MAC JEAN (AV) N° PAI",,,,720
200600034042,6,6,14,1055,1,2,2,1,3,95,"07, PIENCOURT (ALLEE)",,,,480
200600070704,6,11,11,1516,1,1,1,2,2,18,AUTOROUTE A15,,,,950
200600031483,6,6,12,945,1,1,1,1,2,368,,M,4732600.0,613200.0,250
200600027298,6,5,27,1215,1,1,1,1,6,603,VOIE PRIVEE USINE LME,,,,590
200600013974,6,3,14,1705,1,2,1,1,6,540,"1, ELBEUF. RUE D'",,,,760
200600074738,6,12,17,1145,1,1,1,1,7,115,"""Les chopins""",M,0.0,0.0,180
200600011793,6,3,30,700,5,2,3,2,3,33,"sans, AVENIR (BOULEVARD",,,,180
200600061004,6,10,24,1020,1,2,1,1,6,54,"137, DIJON (ROUTE DE)",,,,210
200600053321,6,9,16,915,1,2,3,1,3,88,"1, DELVALLE (RUE PROF.)",,,,60
200600031333,6,6,25,1230,1,1,1,2,3,413,CD 9  - PK 43+820,M,0.0,0.0,510
200600081539,6,5,4,1700,4,1,1,1,6,209,"73, AURELIE DICANOT (RUE",,,,972
200600001054,6,1,20,1844,5,2,1,1,3,550,"397, RTE DE TOULOUSE",,,,330
200600019355,6,4,19,2205,5,2,1,1,3,55,MENDES FRANCE (AVENUE),,,,130
200600054141,6,9,16,2115,5,2,1,2,6,555,"71, RUE ARISTIDE MAILLOL",,,,310
200600052540,6,9,10,1800,1,2,1,1,3,140,route de Nogent le roi,M,4861800.0,166900.0,280
200600006925,6,2,9,1730,2,2,1,4,6,156,Rue de Verdun,M,0.0,0.0,250
200600013573,6,3,3,1805,1,2,1,1,2,20,BPE VINCENNES MONTREUIL,,,,750
200600059209,6,10,26,1500,1,1,1,1,1,515,CD 12 PK 3+400,M,4904800.0,602600.0,570
200600007657,6,2,4,1820,2,2,2,1,6,202,MARECHAL JOFFRE (AVENUE,,,,120
200600048113,6,8,21,1050,1,2,1,1,3,44,"0, ARGENTON(AV D')",,,,360
200600023699,6,5,13,445,3,1,1,5,3,125,Lieu dit Rété,M,0.0,0.0,850
200600035212,6,6,2,710,1,2,2,1,3,5,BD SAINT GERMAIN R SAINT,,,,750
200600039694,6,7,19,1350,1,2,1,1,3,483,ITHURRALDE ANDRE (AVENUE,,,,640
200600080757,6,2,28,1100,1,2,1,1,3,302,MADELEINE (ROUTE DE LA),,,,973
200600081060,6,3,14,805,1,2,1,1,6,411,"69, MUSCADIER (RUE DU)",,,,974
200600072869,6,11,18,145,3,1,1,5,1,27,,M,0.0,0.0,210
200600017092,6,4,22,2000,1,1,1,7,6,88,,M,0.0,0.0,620
200600066309,6,11,28,730,1,2,3,1,3,55,"00, GAROUTTE (BOULEVARD)",,,,130
200600052593,6,9,29,1925,2,1,2,1,3,104,,M,0.0,0.0,370
200600008551,6,2,9,1645,1,2,1,1,6,109,RUE ESNOUL DES CHATELETS,,,,440
200600054457,6,9,6,928,1,2,2,1,6,516,DOYEN GOSSE (RUE),,,,380
200600043697,6,7,30,630,2,2,1,1,6,155,Rte d'Eguisheim,M,0.0,0.0,680
200600003701,6,1,9,2105,5,2,1,1,3,70,GABRIEL-PERI (AV),,,,930
200600018467,6,4,17,100,3,1,1,1,7,61,,M,0.0,0.0,300
200600041687,6,7,24,920,1,2,2,1,3,18,CARRE (RUE MICHEL),,,,950
200600032205,6,6,24,1840,1,1,1,1,7,46,"100, sens Province-Paris",M,0.0,0.0,410
200600018545,6,4,11,1715,1,1,3,1,5,93,,M,4876600.0,339700.0,770
200600044510,6,7,3,1730,1,1,1,1,5,13,,M,4603000.0,472600.0,690
200600029349,6,5,11,930,1,2,1,1,6,28,"05, FONTENELLES(RUE DES)",,,,940
200600037693,6,7,24,1315,1,2,1,1,3,29,"139, JUIN (AVENUE MARECH",,,,60
200600065338,6,10,19,2040,3,1,1,2,6,48,AUTOROUTE A86,,,,930
200600037085,6,6,2,1425,1,1,1,1,2,258,A4.W,,,,770
200600074588,6,12,18,745,2,2,1,1,6,8,AUZON,M,0.0,0.0,300
200600033316,6,6,30,1505,1,2,3,1,3,19,JAURES JEAN (DE 239 ET 2,,,,290
200600026801,6,5,31,1030,1,2,3,1,3,305,"41, HUGO VICTOR",,,,420
200600059158,6,10,26,815,1,2,6,1,3,430,Ave léo lagrange/Rte riv,M,4585200.0,353000.0,630
200600064543,6,10,12,1448,1,1,1,1,3,26,"-, HÔTEL DE VILLE (RUE)",,,,920
200600068903,6,11,19,505,5,2,2,2,3,7,R DE BELLECHASSE BD SAIN,,,,750
200600055483,6,9,21,1920,2,2,1,1,6,482,"81, VOSGES (AVENUE DES)",,,,670
200600022521,6,4,6,835,1,2,1,1,2,51,HAUTS CHATEAUX,,,,930
200600043048,6,7,25,915,1,1,9,1,3,152,"t ""La Gare de Peyrilhac""",M,0.0,0.0,870
200600053553,6,9,22,1135,1,2,1,1,7,55,"225, PAUL CLAUDEL (BOULE",,,,130
200600000690,6,1,10,1010,1,2,1,9,3,31,"19, ESCANDE (RUE JOSEPH)",,,,190
200600083127,6,10,23,1150,1,2,1,1,3,411,"101, GAULLE (DU GENERAL",,,,974
200600055474,6,9,15,1500,1,2,1,2,2,482,"00, HAGUENAU (PLACE DE)",,,,670
200600024394,6,5,1,1945,1,1,1,8,6,470,,M,0.0,0.0,80
200600030798,6,6,19,1500,1,1,1,1,7,499,,M,0.0,0.0,310
200600067883,6,11,11,1845,5,2,1,1,6,350,"Sans objet, NATIONALE RU",,,,590
200600069825,6,11,8,1015,1,2,1,8,3,97,JEAN MOULIN (AVENUE),,,,910
200600041209,6,7,28,1240,1,2,1,1,7,36,"18, SEINE (ROUTE DE LA)",,,,920
200600068056,6,11,17,2215,5,2,3,6,6,666,"sans, WILLARD (R WILLIAM",,,,620
200600038022,6,7,20,1730,1,2,1,1,3,55,HENRI BARNIER (BOULEVARD,,,,130
200600015767,6,3,23,2130,5,2,1,2,3,397,avenue aquitaine,M,4491300.0,-48300.0,330
200600033499,6,6,29,1455,1,2,2,1,3,555,"999, RTE DE SEYSSES",,,,310
200600004665,6,1,13,1930,5,2,1,1,1,497,D 903,M,4931200.0,-142300.0,500
200600001966,6,1,10,1605,1,2,3,1,3,24,"95, BAHINOS (ROUTE DE)",,,,640
200600053135,6,9,11,1910,1,2,2,1,2,310,"1, THERMALE (AVENUE)",,,,30
200600039028,6,7,1,1850,1,2,1,1,6,234,"FACE AU 11, PARIS (AVENU",,,,450
200600065354,6,10,24,940,1,1,1,1,7,582,AUTOROUTE A15,,,,950
200600051765,6,9,16,1745,1,2,1,1,1,260,,M,0.0,0.0,740
200600061012,6,10,11,1350,1,2,3,1,3,166,"48, LONGVIC (DE) (RUE)",,,,210
200600027915,6,5,9,1620,1,2,1,2,7,19,ECH AUBERVILLIERS,,,,750
200600073362,6,12,9,1100,1,1,1,8,1,240,lais - Bois de Plumaugat,M,0.0,0.0,220
200600010119,6,2,19,1306,1,1,1,1,6,75,RN 21,,,,870
